Bangor (Mich.),"Bangor Township (Bay County, Mich.)",http://id.loc.gov/authorities/names/n88079887.html
Bannister (Mich.),,
Baraga (Mich.),Baraga County (Mich.),http://id.loc.gov/authorities/names/n81091922.html
Baraga County (Mich.),Baraga County (Mich.),http://id.loc.gov/authorities/names/n81091922.html
Baroda (Mich.),Baroda Township (Mich.),http://id.loc.gov/authorities/names/n83005698.html
Barron Lake (Mich.),,
Barry County (Mich.),"Maple Grove (Barry County, Mich. : Township)",http://id.loc.gov/authorities/names/no2009014030.html
"Barton Dam (Ann Arbor, Mich.)",,
Base Line Lake (Mich.),,
Battle Creek (Mich.),"Battle Creek Sanitarium (Battle Creek, Mich.)",http://id.loc.gov/authorities/names/nr93004965.html
Bay City (Mich.),Bay City (Mich.),http://id.loc.gov/authorities/names/n81037331.html
Bay Cliff Health Camp,,
Bay County (Mich.),Detroit Metro Airport,http://id.loc.gov/authorities/names/n84081718.html
Bay Harbor (Mich.),,
Bay Mills (Mich.),,
"Bay Mills Indian Community, Michigan","Bay Mills Indian Community, Michigan",http://id.loc.gov/authorities/names/no94034659.html
Bay Point (Mich.),,
Bay Port (Mich.),Detroit Metro Airport,http://id.loc.gov/authorities/names/n84081718.html
Bay View (Mich.),Bay View (Mich.),http://id.loc.gov/authorities/names/no89002733.html
Bean Creek (Mich.),,
"Bear Lake (Clare County, Mich.)",,
Bear Lake (Mich.),,
Bear River (Mich.),,
Beaver Island (Mich.),,
"Beaver Lake (Alger County, Mich.)",,
Beaverton (Mich.),Beaverton (Mich.),http://id.loc.gov/authorities/names/n94033406.html
Bedford (Iowa),Bedford (Iowa),http://id.loc.gov/authorities/names/n00006838.html
Beechville (Mich.),,
Belding (Mich.),Belding (Mich.),http://id.loc.gov/authorities/names/n82062711.html
Belgium,Belgium,http://id.loc.gov/authorities/names/n80126041.html
Belize,Belize,http://id.loc.gov/authorities/names/n79126944.html
Bellaire (Mich.),Bellaire (Mich.),http://id.loc.gov/authorities/names/n85139670.html
"Belle Isle (Detroit, Mich.)","Belle Isle Park (Detroit, Mich.)",http://id.loc.gov/authorities/names/nr00014121.html
"Belle Isle Bridge (Detroit, Mich.)",,
Belleville (Mich.),Belleville (Mich.),http://id.loc.gov/authorities/names/n85081793.html
Bellevue (Mich.),,
Bennett (Mich.),,
Benton Harbor (Mich.),Benton Harbor (Mich.),http://id.loc.gov/authorities/names/n81129560.html
Benzie County (Mich.),Benzie County (Mich.),http://id.loc.gov/authorities/names/n81103576.html
Benzie State Park (Mich.),,
Benzonia (Mich.),Benzonia (Mich.),http://id.loc.gov/authorities/names/n88013212.html
Berkley (Mich.),Berkley (Mich.),http://id.loc.gov/authorities/names/n85149708.html
"Berkshire Road (Ann Arbor, Mich.)",,
Bermuda Islands,Bermuda Islands,http://id.loc.gov/authorities/names/n79115394.html
Berrien County (Mich.),Benton Harbor (Mich.),http://id.loc.gov/authorities/names/n81129560.html
Berrien Springs (Mich.),Berrien Springs (Mich.),http://id.loc.gov/authorities/names/n82094760.html
Bessemer (Mich.),Bessemer (Mich.),http://id.loc.gov/authorities/names/n85081851.html
Bete Grise (Mich.),,
Beulah (Mich.),,
Beverly (Mass.),Beverly Historical Society,http://id.loc.gov/authorities/names/n2010065324.html
Big Bay (Mich.),,
Big Rapids (Mich.),Ferris State University,http://id.loc.gov/authorities/names/no96001565.html
Big Sky (Mont.),Big Sky (Mont.),http://id.loc.gov/authorities/names/n84026616.html
Bikini Atoll (Marshall Islands),,
Biochemistry,,
"Bird Hills Park (Ann Arbor, Mich.)",,
Birmingham (Mich.),Birmingham (Mich.),http://id.loc.gov/authorities/names/n81104604.html
Black Canyon of the Gunnison National Park (Colo.),,
"Black Pond (Ann Arbor, Mich.)",,
Black River (Mich.),,
Blaney Park (Mich.),,
"Bliss Park (Saginaw, Mich.)",,
Blissfield (Mich.),Blissfield (Mich.),http://id.loc.gov/authorities/names/n85064129.html
Bloomfield Hills (Mich.),Bloomfield Hills (Mich.),http://id.loc.gov/authorities/names/n80149683.html
Bloomingdale (Mich.),Bloomingdale Township (Mich.),http://id.loc.gov/authorities/names/no2010077931.html
"Blue Water Bridge (Port Huron, Mich. and Sarnia, Ont.)",,
Boardman River Valley (Mich.),,
Boats,"Center for Wooden Boats (Seattle, Wash.)",http://id.loc.gov/authorities/names/n82100848.html
Bob-Lo Amusement Park (Ont.),,
Boblo Island Amusement Park (Ont.),,
Bogardus Engineering Camp (University of Michigan),,
Boon (Mich.),,
Borculo (Mich.),Borculo (Mich.),http://id.loc.gov/authorities/names/n91067689.html
Boxford (Mass.),Boxford (Mass. : Town),http://id.loc.gov/authorities/names/n85081657.html
Boyne City (Mich.),Boyne City (Mich.),http://id.loc.gov/authorities/names/n81093926.html
Boyne Falls (Mich.),Boyne Falls (Mich.),http://id.loc.gov/authorities/names/n81086464.html
"Boytown Camp (Washtenaw County, Mich.)",,
Branch County (Mich.),Branch County (Mich.),http://id.loc.gov/authorities/names/n81091924.html
Brant County (Ont.),Brant (Ont. : County),http://id.loc.gov/authorities/names/n82250987.html
Brazil,Brazil,http://id.loc.gov/authorities/names/n79128015.html
Breckenridge (Mich.),Breckenridge (Mich.),http://id.loc.gov/authorities/names/n84228687.html
Breedsville (Mich.),,
Bridgehampton (Mich.),,
Bridgeton (Mich.),,
Bridgewater (Mich. : Township),,
Bridgewater (Mich.),,
"Brightmoor (Detroit, Mich.)",,
Brighton (Mich.),Brighton (Mich.),http://id.loc.gov/authorities/names/n97092419.html
Brighton (Utah),Brighton (Utah),http://id.loc.gov/authorities/names/nr2002007277.html
Brimley (Mich.),Brimley (Mich.),http://id.loc.gov/authorities/names/no2012133279.html
British Columbia,British Columbia,http://id.loc.gov/authorities/names/n79058445.html
"Broadway Bridge (Ann Arbor, Mich.)",,
Brockway Mountain (Mich.),,
Bronson (Mich.),Bronson (Mich.),http://id.loc.gov/authorities/names/n80106890.html
Brooklyn (Mich.),Brooklyn (Mich.),http://id.loc.gov/authorities/names/n81152085.html
Brown City (Mich.),Brown City (Mich.),http://id.loc.gov/authorities/names/n85064195.html
Brutus (Mich.),,
"Bryant Neighborhood (Ann Arbor, Mich.)",,
Buchanan (Mich.),Buchanan (Mich.),http://id.loc.gov/authorities/names/n82062709.html
Buckley (Mich.),Buckley (Mich.),http://id.loc.gov/authorities/names/n97103666.html
Budapest (Hungary),Budapest (Hungary),http://id.loc.gov/authorities/names/n79091691.html
Buffalo (N.Y.),Canisius College,http://id.loc.gov/authorities/names/n81050811.html
Bulgaria,Bulgaria,http://id.loc.gov/authorities/names/n81032254.html
Bunker Hill (Mich. : Township),,
Bunker Hill (Mich.),,
Burma,Burma. Nuiṅʻ ṅaṃ toʻ Koṅʻcī Ruṃʺ,http://id.loc.gov/authorities/names/n89260828.html
Burnips (Mich.),,
Burns (Mich.),Burns (Mich.),http://id.loc.gov/authorities/names/n88254427.html
Burr Oak (Mich.),Burr Oak (Mich.),http://id.loc.gov/authorities/names/n91014256.html
Burt Lake (Mich.),,
Burt Lake State Park (Mich.),,
Byron (Mich.),Byron (Mich.),http://id.loc.gov/authorities/names/no2015052434.html
Cadillac (Mich.),Cadillac (Mich.),http://id.loc.gov/authorities/names/n81129557.html
Cahokia Mounds State Historic Park (Ill.),,
Calcite (Mich.),,
"Calder Plaza (Grand Rapids, Mich.)",,
Calderwood (Mich.),,
Caledonia (Mich.),"Caledonia Township (Shiawassee County, Mich.)",http://id.loc.gov/authorities/names/n88137789.html
Calhoun County (Mich.),Marshall (Mich.),http://id.loc.gov/authorities/names/n82059546.html
California,California,http://id.loc.gov/authorities/names/n79041717.html
Calumet (Mich.),"Centennial Heights (Calumet, Mich.)",http://id.loc.gov/authorities/names/n2001029817.html
Cambodia,Cambodia,http://id.loc.gov/authorities/names/n80014970.html
Cambridge Junction (Mich.),,
Camillus (N.Y.),Camillus (N.Y.),http://id.loc.gov/authorities/names/no99089480.html
"Camp Birkett (Dexter, Mich.)",,
"Camp Bryn Afon (Rhinelander, Wis.)",,
Camp Cody (N.M.),Camp Cody (N.M.),http://id.loc.gov/authorities/names/no2010084356.html
Camp Crosswell (Mich.),,
Camp Davis (University of Michigan),,
Camp Eldorado (Mich.),,
Camp Filibert Roth (University of Michigan),,
Camp Grayling (Mich.),,
Camp MacArthur (Tex.),Camp MacArthur (Tex.),http://id.loc.gov/authorities/names/no2010112167.html
"Camp Missaukee (Lake City, Mich.)",,
"Camp Newkirk (Webster, Mich.)",,
Canada,Canada,http://id.loc.gov/authorities/names/n79007233.html
Canal Zone,Canal Zone,http://id.loc.gov/authorities/names/n79151431.html
Capac (Mich.),Capac (Mich.),http://id.loc.gov/authorities/names/n85081792.html
Caro (Mich.),Caro (Mich.),http://id.loc.gov/authorities/names/n82062706.html
Caroline Islands,,
Carp Lake (Mich.),"Carp Lake Township (Emmet County, Mich.)",http://id.loc.gov/authorities/names/n94005180.html
Carrabassett Valley (Me. : Town),Carrabassett Valley (Me. : Town),http://id.loc.gov/authorities/names/n2004076178.html
Carson City (Mich.),Carson City (Mich.),http://id.loc.gov/authorities/names/n82060965.html
Carsonville (Mich.),Carsonville (Mich.),http://id.loc.gov/authorities/names/n2007016172.html
Carthage (Extinct city),,
Caseville (Mich.),Caseville (Mich.),http://id.loc.gov/authorities/names/n98032433.html
Casnovia (Mich.),,
Cass City (Mich.),,
Cass County (Mich.),LaGrange (Mich. : Township),http://id.loc.gov/authorities/names/no2008135666.html
Cassopolis (Mich.),Cassopolis (Mich.),http://id.loc.gov/authorities/names/nr2001004347.html
"Castle Rock (Saint Ignace, Mich.)",,
Cedar (Mich.),Cedar Springs (Mich.),http://id.loc.gov/authorities/names/n85025648.html
"Cedar Lake (Alcona County and Iosco County, Mich.)",,
"Cedar Point (Sandusky, Ohio : Amusement Park)",,
Cedar Rapids (Iowa),Cedar Rapids (Iowa),http://id.loc.gov/authorities/names/n79091425.html
Cedar River (Mich.),,
Cedar Springs (Mich.),Cedar Springs (Mich.),http://id.loc.gov/authorities/names/n85025648.html
