tag,attribute,attribute value,count,percentage of all tags
geogname,source,aat,2,0.02
geogname,source,gmgpc,2,0.02
language,langcode,eng,5683,98.56
language,langcode,ger,14,0.24
language,langcode,[tags without this attribute],9,0.16
language,langcode,ara,6,0.10
language,langcode,swe,5,0.09
language,langcode,spa,4,0.07
language,langcode,yid,3,0.05
language,langcode,fre,3,0.05
language,langcode,dan,3,0.05
language,langcode,ita,2,0.03
language,langcode,pol,2,0.03
language,langcode,arm,2,0.03
language,langcode,grc,2,0.03
language,langcode,heb,2,0.03
language,langcode,tur,2,0.03
language,langcode,lat,2,0.03
language,langcode,rus,2,0.03
language,langcode,nor,2,0.03
language,langcode,fin,2,0.03
language,langcode,jpn,1,0.02
language,langcode,scc,1,0.02
language,langcode,jap,1,0.02
language,langcode,btk,1,0.02
language,langcode,oji,1,0.02
language,langcode,ukr,1,0.02
language,langcode,per,1,0.02
language,langcode,kor,1,0.02
language,langcode,dut,1,0.02
language,langcode,ru,1,0.02
language,langcode,ota,1,0.02
language,langcode,gger,1,0.02
language,langcode,bul,1,0.02
language,langcode,geo,1,0.02
language,langcode,srp,1,0.02
language,langcode,tha,1,0.02
language,scriptcode,[tags without this attribute],4024,69.79
language,scriptcode,Latn,1742,30.21
list,type,simple,12271,99.39
list,type,[tags without this attribute],63,0.51
list,type,ordered,12,0.10
num,type,donor,3091,98.22
num,type,[tags without this attribute],56,1.78
occupation,source,[tags without this attribute],4,80.00
occupation,source,lcsh,1,20.00
persname,role,[tags without this attribute],59518,99.99
persname,role,subject,3,0.01
persname,role,collector,1,0.00
persname,source,[tags without this attribute],40981,68.85
persname,source,lcnaf,18540,31.15
persname,source,local,1,0.00
physdesc,altrender,whole,48436,55.27
physdesc,altrender,[tags without this attribute],38616,44.06
physdesc,altrender,part,589,0.67
physloc,label,[tags without this attribute],7190,99.36
physloc,label,Box,45,0.62
physloc,label,Folder,1,0.01
relatedmaterial,type,[tags without this attribute],341,99.71
relatedmaterial,type,add,1,0.29
subject,rules,[tags without this attribute],16331,99.97
subject,rules,lcsh,3,0.02
subject,rules,lctgm,2,0.01
subject,source,lcsh,10504,64.30
subject,source,lctgm,4735,28.99
subject,source,[tags without this attribute],866,5.30
subject,source,local,177,1.08
subject,source,aat,29,0.18
subject,source,lcnaf,23,0.14
subject,source,gmgpc,2,0.01
tgroup,cols,4,14,42.42
tgroup,cols,2,13,39.39
tgroup,cols,3,5,15.15
tgroup,cols,5,1,3.03
tgroup,colsep,[tags without this attribute],29,87.88
tgroup,colsep,0,3,9.09
tgroup,colsep,--,1,3.03
title,actuate,[tags without this attribute],27837,99.71
title,actuate,onrequest,81,0.29
title,actuate,onload,1,0.00
title,linktype,[tags without this attribute],27872,99.83
title,linktype,simple,47,0.17
title,render,italic,26684,95.58
title,render,[tags without this attribute],971,3.48
title,render,underline,259,0.93
title,render,bold,5,0.02
title,show,[tags without this attribute],27837,99.71
title,show,replace,47,0.17
title,show,new,35,0.13
title,source,[tags without this attribute],27748,99.39
title,source,aacr2,162,0.58
title,source,local,7,0.03
title,source,lcnaf,2,0.01
unitdate,certainty,[tags without this attribute],408329,97.46
unitdate,certainty,approximate,10627,2.54
unitdate,label,[tags without this attribute],418955,100.00
unitdate,label,245,1,0.00
unitdate,type,inclusive,411854,98.30
unitdate,type,[tags without this attribute],6222,1.49
unitdate,type,bulk,880,0.21
unitid,countrycode,[tags without this attribute],17629,86.15
unitid,countrycode,us,2832,13.84
unitid,countrycode,US,2,0.01
unitid,countrycode,ua,1,0.00
unitid,label,[tags without this attribute],20396,99.67
unitid,label,File Number,61,0.30
unitid,label,Call No.,7,0.03
unitid,repositorycode,[tags without this attribute],17625,86.13
unitid,repositorycode,MiU-H,2839,13.87
unitid,type,[tags without this attribute],17618,86.09
unitid,type,call number,2846,13.91
