reel of 16 mm film,2
"cs, prints and head shots, posed",2
floppy disks,2
pads,2
phonorecord,2
accordion panels on foam core,2
[3 volumes],2
BL002011-BL0021019,2
architectural drawing,2
presentation boards folders,2
s,2
photographs on mat board,2
oversize posters,2
architectural and mechanical drawings,2
pencil-on-vellum,2
flat file drawers,2
elevation,2
mm films,2
inch,2
"black & white and scans, meet action",2
CD-ROMs,2
mm slides,2
bound vol,2
microcassette tapes,2
of 10 folders,2
loose item,2
photoprints,2
photocopies,2
film reels,2
site plan,2
annual folders,2
BL002038-BL002044,2
folders 1-7,2
broken,2
reels microfilm,2
audio-cassette,2
phonograph record,2
expandable folders folders,2
letters,2
/4 hours,2
oversize drawers,2
MB [4 digital files],2
site plan drawing,2
pgs,2
contents of 2 notebooks,2
of 12 folders,2
l volume,2
positive prints,2
"""x2"" slides",1
duplicates,1
NIS 15969,1
""" disks",1
prints and 39 prints,1
"X10, print",1
map. : ms,1
sound tape reel: 30 min,1
linear feet and feet,1
prints by unknown photographer,1
bound and typed excerpts of correspondence from scrapbooks,1
prints and negatives,1
motion pictures,1
"electrostatic prints on mylar, and",1
box of audiotapes,1
linear feet plus oversize scrapbook,1
"folders, includes prints not used",1
"microfilm roll, positive and negative copies",1
folders 12-15,1
folders of positive prints,1
maps: ms,1
linear feet at Bentley Library,1
with 36 prints of unidentified interiors and exteriors,1
activities,1
contents not listed,1
prints1 binder,1
images of varying size,1
see na 9278-9279,1
floor plan,1
elevations,1
pages of negatives,1
reels of 13 retained,1
(200 pages,1
of wife,1
prints and 1 print by unknown photographer,1
large,1
"architectural, mechanical and landscape drawings",1
with blue wraps,1
"cd, pdf and quark files",1
Original papers: 9 boxes,1
v.; some gaps,1
folder [46 digital files],1
electronic files,1
thumbnail prints by Rapattoni Corporation,1
and portrait prints,1
"photographs, including photos with Leslie Caron and George Murphy,;Vincente Minelli",1
copy,1
folders of drawings and blueprints,1
"includes original drawings, pencil and colored pencil on tracing paper",1
paintings,1
small reels,1
linear feet. (32 volumes,1
oversize poster boards,1
architectural sketches and drawings,1
Manuscript bound,1
oversize boxes and oil paintings,1
by Hursley and Lark,1
hour 18 minutes,1
reels of 29 retained,1
folders 1-15,1
folder 2 of 2,1
photographs & 1 pen & ink drawing,1
"oversize volume, on oversize folder",1
loose,1
"audio cassette tape, printed script",1
open reel tape,1
approx. 100 cassettes,1
audio tape,1
and 1 prints,1
",104 digital records",1
oversize tubes,1
boxes 57-73,1
