folders,40848
items,2080
negatives,2046
volumes,1636
photographs,997
item,720
volume,716
folder,490
tapes,475
envelopes,339
one cassette,313
frames,277
negs,259
lin. ft,254
prints,251
cd,229
photos,228
linear ft,208
cassettes,200
reels,194
"one 7"" reel",171
also medium,169
sheets,166
copies,147
binder,145
expandable folders,122
vols,113
plates,112
vol,111
binders,110
cs,110
expandable folder,109
drawings,107
min,104
sheet,96
slides,78
black,76
cds,74
files,74
Folders,71
discs,62
v,62
feet,61
photonegatives,61
pieces,60
linear feet,59
PDF,58
two cassettes,55
boxes,54
reel,53
issues,52
pp,52
pages,48
print,48
black-and-white prints,47
electrical drawings,46
linear inches,46
negative,45
one print,45
mechanical,41
disc,39
medium only,38
notebook,38
white images,36
:30,35
negatives in [x] envelope,33
cassette tapes,32
large,32
large only,32
notebooks,32
three cassettes,31
videotapes,31
color slides,30
multiple folders,30
minute cassette,29
contact sheets,28
meet action,28
ZIP file,27
bound volumes,24
"two 7"" reels",24
b&w prints,21
bound volume,21
head shots,21
cassette,20
EMPTY EXTENT!,19
cards,19
two drawings,19
posed,18
three prints,18
two prints,18
Two drawings,17
boards,17
CDs,16
album,16
images,15
microcassettes,15
minute cassettes,15
of [x] folders,15
structural,15
([x] folders,14
Forty prints,14
disks,14
envelope,14
map : ms,14
records,14
also large,13
architectural drawings,13
black-and-white print,13
bundle,13
ca. [x] min,13
cassette tape,13
color prints,13
slide,13
ten prints,13
white prints,13
VHS tapes,12
albums,12
maps,12
mounted print,12
seven prints,12
sound tape reel,12
b&w slides in folder,11
five prints,11
four prints,11
microcassette,11
one drawing,11
packets,11
"three 7"" reels",11
:60,10
audio cassettes,10
box,10
contact sheet,10
cs only,10
minutes,10
"one [x] 1/2"" reel",10
seconds,10
white photographs,10
CD,9
b&w images,9
booklets,9
books,9
color,9
digital cs,9
file,9
medium,9
mounted prints,9
rolls,9
blueprints,8
color photographs,8
electrical,8
one perspective,8
sound tape reel: [x] 1/[x] ips; [x] in,8
tape: [x] min,8
architectural,7
black & white images,7
ca. [x] minutes,7
cd-r,7
color print,7
compact discs,7
fifteen architectural,7
fourteen architectural,7
in box,7
linear inch,7
one DAT,7
plumbing drawings,7
reel-to-reel tapes,7
small box,7
tape,7
two folders,7
/[x] hours,6
CD-ROM,6
MB,6
TIFF files,6
Thirty-five prints,6
Thirty-six prints,6
VHS cassette,6
VHS videotape,6
audiocassettes,6
different prints,6
folders 1-6,6
including [x] Gibson prints,6
items in [x] folders,6
"one 5"" reels",6
oversize volume,6
parts,6
portfolio,6
reel-to-reel tape,6
scattered issues,6
six cassettes,6
slides in folder,6
sound cassette,6
utility,6
videocassettes,6
x[x] inches,6
([x] volume,5
-minute cassette tape,5
4-inch reel,5
:[x] min,5
DAMN YOU,5
DVDs,5
GB,5
MICROSOFT!,5
One drawing,5
Tapes,5
Thirty-nine prints,5
U-matic tape,5
audiocassette,5
audiocassette tapes,5
card,5
cassette [x] minutes,5
eleven prints,5
fifteen prints,5
five cassettes,5
hours,5
linear foot,5
linear in,5
missing volumes II,5
one black,5
pencil,5
portfolios,5
prints in [x] folders,5
reels retained,5
sides,5
six prints,5
sound cassettes,5
sound tape reels,5
sound tape reels: [x] 3/[x] ips; [x] in,5
white,5
""" reel",4
/[x] ips,4
2,4
30:00,4
CD-Rs,4
III,4
Thirty-four prints,4
Thirty-three prints,4
VHS tape,4
VHS videotapes,4
Volumes,4
audio tape reels,4
bundles,4
cans,4
color                                     prints,4
color snapshots,4
eight prints,4
eighteen prints,4
expandable folder folders,4
folders 1-3,4
interviews,4
landscape drawings,4
lin.ft,4
negative) located in microfilm cabinet,4
"one 5"" reel",4
one 8x10-inch,4
one electrostatic print,4
outsize,4
outsize folders,4
outsize located in box 76,4
oversize volumes,4
posters,4
prints in [x] envelopes,4
reel of microfilm (positive,4
reels; color,4
reports,4
scrapbooks,4
sheets in [x] folders,4
"six 7"" reels",4
six perspectives,4
sketches,4
sound tape reel: 3-3/[x] ips; [x] in,4
three architectural drawings,4
three ring binder,4
twelve prints,4
"two [x] 1/2"" reels",4
two volumes,4
vhs tapes,4
volumes in [x] expandable folders,4
volumes in [x] folder,4
white positive prints,4
([x] reels,3
-1/2x5,3
-3/[x] ips,3
0:30,3
1-15,3
16-30,3
29:41,3
5-inch reel,3
6-inch,3
9:30,3
DVD copy,3
Forty-one prints,3
One 7-1/2x9-1/2-inch,3
TIFF file,3
Tape,3
Thirty-two prints,3
Three prints,3
Two prints,3
U-matic cassettes,3
VHS,3
VHS cassettes,3
VI-VIII,3
