attribute value,count
,770458
Accession,6
SSS-series,1
accession,2
acession,1
ffile,1
file,3
iem-part,1
item,1
item-main,2429
item-part,5727
sss-series,92
ssss-series,10
sub-series,1
sub-ssuberies,1
sub-sub-subseries,361
sub-subseries,2308
subseries,2
