tag,attribute,attribute value,count,percentage of all tags
eadheader,repositoryencoding,[tags without this attribute],36,1.27
eadheader,scriptencoding,iso15924,1766,62.10
eadheader,scriptencoding,[tags without this attribute],1078,37.90
eadid,countrycode,us,2844,100.00
eadid,mainagencycode,MiU-H,2844,100.00
emph,altrender,[tags without this attribute],462,99.35
emph,altrender,italics,2,0.43
emph,altrender,bold,1,0.22
emph,render,italic,256,55.05
emph,render,bold,156,33.55
emph,render,[tags without this attribute],28,6.02
emph,render,underline,17,3.66
emph,render,super,8,1.72
entry,align,[tags without this attribute],11038,99.41
entry,align,right,64,0.58
entry,align,center,1,0.01
entry,align,left,1,0.01
extent,altrender,materialtype spaceoccupied,49019,77.72
extent,altrender,[tags without this attribute],13916,22.06
extent,altrender,carrier,130,0.21
extent,altrender,spaceoccupied materialtype,3,0.00
extent,altrender,materialtype spaceocccupied,1,0.00
extent,altrender,container,1,0.00
extptr,actuate,onload,6137,100.00
extptr,show,embed,6137,100.00
extref,actuate,onrequest,3,60.00
extref,actuate,[tags without this attribute],2,40.00
extref,show,new,3,60.00
extref,show,[tags without this attribute],2,40.00
famname,source,lcnaf,627,61.71
famname,source,[tags without this attribute],389,38.29
genreform,audience,[tags without this attribute],8135,99.96
genreform,audience,external,3,0.04
genreform,rules,[tags without this attribute],8135,99.96
genreform,rules,aat,3,0.04
genreform,source,aat,4317,53.05
genreform,source,[tags without this attribute],3307,40.64
genreform,source,gmgpc,384,4.72
genreform,source,lcsh,77,0.95
genreform,source,lctgm,48,0.59
genreform,source,lcnaf,2,0.02
genreform,source,local,2,0.02
genreform,source,Photogrraphs,1,0.01
genreform,type,[tags without this attribute],8137,99.99
genreform,type,Photographs,1,0.01
geogname,source,lcsh,7120,68.42
geogname,source,[tags without this attribute],1752,16.83
geogname,source,lctgm,797,7.66
geogname,source,local,663,6.37
geogname,source,lcnaf,71,0.68
geogname,source,aat,2,0.02
geogname,source,gmgpc,2,0.02
language,langcode,eng,5679,98.56
language,langcode,ger,14,0.24
language,langcode,[tags without this attribute],9,0.16
language,langcode,ara,6,0.10
language,langcode,swe,5,0.09
language,langcode,spa,4,0.07
language,langcode,yid,3,0.05
language,langcode,fre,3,0.05
language,langcode,dan,3,0.05
language,langcode,ita,2,0.03
language,langcode,pol,2,0.03
language,langcode,arm,2,0.03
language,langcode,grc,2,0.03
language,langcode,heb,2,0.03
language,langcode,tur,2,0.03
language,langcode,lat,2,0.03
language,langcode,rus,2,0.03
language,langcode,nor,2,0.03
language,langcode,fin,2,0.03
language,langcode,jpn,1,0.02
language,langcode,scc,1,0.02
language,langcode,jap,1,0.02
language,langcode,btk,1,0.02
language,langcode,oji,1,0.02
language,langcode,ukr,1,0.02
language,langcode,per,1,0.02
language,langcode,kor,1,0.02
language,langcode,dut,1,0.02
language,langcode,ru,1,0.02
language,langcode,ota,1,0.02
language,langcode,gger,1,0.02
language,langcode,bul,1,0.02
language,langcode,geo,1,0.02
language,langcode,srp,1,0.02
language,langcode,tha,1,0.02
language,scriptcode,[tags without this attribute],4022,69.80
language,scriptcode,Latn,1740,30.20
list,type,simple,12271,99.39
list,type,[tags without this attribute],63,0.51
list,type,ordered,12,0.10
num,type,donor,3077,97.81
num,type,[tags without this attribute],56,1.78
num,type,Donor,13,0.41
occupation,source,[tags without this attribute],4,80.00
occupation,source,lcsh,1,20.00
persname,audience,[tags without this attribute],59525,100.00
persname,audience,internal,1,0.00
persname,role,[tags without this attribute],59522,99.99
persname,role,subject,3,0.01
persname,role,collector,1,0.00
persname,source,[tags without this attribute],40972,68.83
persname,source,lcnaf,18553,31.17
persname,source,local,1,0.00
physdesc,altrender,whole,48432,55.25
physdesc,altrender,[tags without this attribute],38639,44.08
physdesc,altrender,part,589,0.67
physdesc,altrender,whle,1,0.00
physdesc,label,[tags without this attribute],87657,100.00
physdesc,label,300,1,0.00
physdesc,label,Sound Recordings: ,1,0.00
physdesc,label,Photographs: ,1,0.00
physdesc,label,Quantity: ,1,0.00
physfacet,rules,[tags without this attribute],24603,100.00
physfacet,rules,Daguerreotypes,1,0.00
physloc,label,[tags without this attribute],7206,98.43
physloc,label,Box,114,1.56
physloc,label,Folder,1,0.01
relatedmaterial,type,[tags without this attribute],340,99.71
relatedmaterial,type,add,1,0.29
subject,audience,[tags without this attribute],16317,99.99
subject,audience,internal,1,0.01
subject,audience,external,1,0.01
subject,rules,[tags without this attribute],16314,99.97
subject,rules,lcsh,3,0.02
subject,rules,lctgm,2,0.01
subject,source,lcsh,10489,64.27
subject,source,lctgm,4734,29.01
subject,source,[tags without this attribute],866,5.31
subject,source,local,177,1.08
subject,source,aat,29,0.18
subject,source,lcnaf,22,0.13
subject,source,gmgpc,2,0.01
tgroup,cols,4,14,42.42
tgroup,cols,2,13,39.39
tgroup,cols,3,5,15.15
tgroup,cols,5,1,3.03
tgroup,colsep,[tags without this attribute],29,87.88
tgroup,colsep,0,3,9.09
tgroup,colsep,--,1,3.03
title,actuate,[tags without this attribute],27835,99.71
title,actuate,onrequest,79,0.28
title,actuate,onload,1,0.00
title,linktype,[tags without this attribute],27868,99.83
title,linktype,simple,47,0.17
title,render,italic,26682,95.58
title,render,[tags without this attribute],969,3.47
title,render,underline,259,0.93
title,render,bold,5,0.02
title,show,[tags without this attribute],27835,99.71
title,show,replace,47,0.17
title,show,new,33,0.12
title,source,[tags without this attribute],27744,99.39
title,source,aacr2,129,0.46
title,source,AACR2,33,0.12
title,source,local,7,0.03
title,source,lcnaf,2,0.01
titleproper,render,[tags without this attribute],5688,99.98
titleproper,render,italic,1,0.02
titleproper,type,[tags without this attribute],5688,99.98
titleproper,type,OVERSIZE,1,0.02
unitdate,altrender,[tags without this attribute],418879,100.00
unitdate,altrender,245$g,1,0.00
unitdate,audience,[tags without this attribute],418491,99.91
unitdate,audience,internal,389,0.09
unitdate,certainty,[tags without this attribute],408256,97.46
unitdate,certainty,approximate,10624,2.54
unitdate,label,[tags without this attribute],418876,100.00
unitdate,label,bulk,2,0.00
unitdate,label,Bulk,1,0.00
unitdate,label,245,1,0.00
unitdate,type,inclusive,411785,98.31
unitdate,type,[tags without this attribute],6222,1.49
unitdate,type,bulk,873,0.21
unitid,countrycode,[tags without this attribute],17631,86.16
unitid,countrycode,us,2830,13.83
unitid,countrycode,US,2,0.01
unitid,countrycode,ua,1,0.00
unitid,label,[tags without this attribute],20396,99.67
unitid,label,File Number,61,0.30
unitid,label,Call No.,7,0.03
unitid,repositorycode,[tags without this attribute],17627,86.14
unitid,repositorycode,miu-h,2119,10.35
unitid,repositorycode,MiU-H,718,3.51
unitid,type,[tags without this attribute],17620,86.10
unitid,type,call number,2844,13.90
unittitle,label,[tags without this attribute],782500,100.00
unittitle,label,series,12,0.00
unittitle,label,File,3,0.00
unittitle,label,Photographs,1,0.00
unittitle,label,Folder ,1,0.00
unittitle,type,[tags without this attribute],782501,100.00
unittitle,type,Photographs,4,0.00
unittitle,type,inclusive,4,0.00
unittitle,type,Sound recordings,3,0.00
unittitle,type,Visual material,1,0.00
unittitle,type,Diaries,1,0.00
unittitle,type,Publicity photographs,1,0.00
unittitle,type,Scrapbooks,1,0.00
unittitle,type,folder,1,0.00
