attribute value,count
,3377
AACR2,1
Photogrraphs,1
RBGENR,1
aat,4250
gmcpc,1
gmgpc,381
gmpc,1
lchs,1
lcnaf,4
lcsh,76
lctgm,48
local,2
migfg,1
othersource,2
