"[x]X[x], black and white print",1
[x]cd,14
"[x]cd, cs",9
"[x]cd, partial cs",1
[x]dvd,1
[x]expandable folder,1
[x]f linear feet,1
[x]folders,3
[x]items,1
[x]mm,2
[x]mm color slides,2
"[x]mm color slides, printed script",1
[x]mm film,1
"[x]mm film, DVD use copy",1
[x]mm films,2
[x]mm negatives,1
[x]mm reels,1
[x]negatives,1
[x]print,1
[x]s,1
[x]x[x],8
[x]x[x] black and white prints,1
[x]x[x] negs folders,1
[x]x[x]-[x]/[x],1
[x]x[x]-[x]/[x] inches,1
[x]x[x]-[x]/[x]-inch,1
[x]x[x]-[x]/[x]-inch prints of [x] projects,1
"[x]x[x]-[x]/[x]-inch, black-and-white print",1
"[x]x[x]-[x]/[x]-inch, black-and-white prints",1
[x]x[x]-inch,3
[x]x[x]-inch black-and-white electrostatic print,1
[x]x[x]-inch black-and-white print by unknown photographer,1
[x]x[x]-inch color prints,5
"[x]x[x]-inch print by Don Walker, Detroit News Airphoto",1
[x]x[x]-inch prints,2
[x]x[x]-inch prints by Fred Eggert,1
"[x]x[x]-inch, black and white prints",1
"[x]x[x]-inch, black-and-white original",1
"[x]x[x]-inch, black-and-white photographs",1
"[x]x[x]-inch, black-and-white photographs on mat board",2
"[x]x[x]-inch, black-and-white print",5
"[x]x[x]-inch, black-and-white print by unknown photographer",1
"[x]x[x]-inch, black-and-white prints",13
"[x]x[x]-inch, black-and-white prints by Sheill",1
"[x]x[x]-inch, black-and-white prints by The Conrad Studio",1
"[x]x[x]-inch, black-and-white prints by unknown photographer",2
"[x]x[x]-inch, color",1
"[x]x[x]-inch, color prints",10
about [x] cassettes,1
accordion folder,2
activities,1
album,15
albums,13
also [x] photocopies of related material,1
also [x] photographs given by Seaver,1
also large,13
also medium,124
also medium D[x] for earlier chapter house,1
"also medium, large",29
also tintype,1
"also with Dagmar, Steve Allen",1
and [x] MB,1
and [x] oversize folder (UAm,1
annual folders,2
approx. [x] cassettes,1
approx. [x] postcards,1
approx. [x]x[x]-[x]/[x],1
approximately [x] GB,1
architectural drawing,2
architectural drawings,27
"architectural sketches, drawings",1
"architectural, electrical drawings",9
"architectural, furniture layout drawings",1
"architectural, mechanical",29
"architectural, mechanical drawings",2
"architectural, mechanical/electrical drawings",1
"architectural, perspective drawings",1
"architectural, structural",14
"architecture, people",1
archival DVD,1
archived websites (online,1
are outsize,1
articles,1
artifact,1
artifacts,1
artifacts on display (DSD Room,1
audio cassette,3
audio cassette box,1
"audio cassette tape, printed script",1
audio cassette tapes,1
audio cassettes,13
audio tape,1
audio tape reel,3
audio tape reels,4
audio tapes,1
audio-cassette,2
audio-cassettes,2
audiocassette,5
audiocassette tape,3
audiocassette tapes,6
audiocassettes,7
audiotape,2
beta videotapes,1
betacams,1
binder,137
binder ( cd sleeves,1
"binder, cds",2
"binder, expandable folder",1
"binder, loose photos",1
"binder, missing volume I",2
"binder, missing volumes I",1
"binder, missing volumes I-III",1
"binder, missing volumes II-VIII",1
"binder, missing volumes III",1
binders,103
"binders, missing volumes I",2
"binders, missing volumes I-III",1
"binders, missing volumes II",5
"binders, missing volumes VI-VIII",2
black & white,2
black & white image,2
black & white images,7
"black & white images of Portia, varying size",1
black & white images of varying size,1
black & white prints,1
"black & white, color scans",2
black and white,2
black and white [x] x [x] glossy photo,1
black and white [x]x [x] photos,1
black and white [x]x[x],1
black and white [x]x[x] negatives,1
black and white [x]x[x]-inch prints,2
"black and white contact sheets, a few neagtives",1
black and white image,4
black and white images,44
"black and white images located, outsize folder",1
black and white negative,1
black and white negatives,1
black and white photograph,3
black and white photographs,11
black and white photographs on [x] sheet,1
black and white photos lined as panorama,1
"black and white photos, lined up",1
"black and white photos, negatives",1
black and white portraits,1
black and white positive print,3
black and white positive prints,3
black and white print,1
black and white print with negative,1
black and white prints,33
"black and white prints, negatives",1
black and white prints[x] binder,1
"black and white slide, folder",3
"black and white slides, folder",10
black binder,2
black-and-white prints,3
black-and-white prints of various sizes,3
"black-and-white, Polaroid prints",1
blue binder,2
"blue marker on tracing paper, colored pencil on tracing paper",1
blue-line prints,2
"blue-line, sepia prints",1
blueline print on paper,1
"bluelines, blacklines",1
blueprint,3
blueprint cabinet drawers,1
blueprint drawers,1
blueprint tubes,1
blueprints,9
blueprints with pastel,1
boards,17
booklets,9
books,9
bookshelves,1
"bound album contains [x] prints, no negatives",1
bound documents,1
bound manuscripts,1
bound ms,1
bound set,3
bound sets,1
bound sheets,2
bound sheets for [x],2
bound vol,2
bound volume,22
bound volumes,27
bound volumes folders,1
bound volumes with index,1
"bound, typed excerpts of correspondence from scrapbooks",1
box,43
box [x],4
box of audiotapes,1
box of color contact sheets,1
boxes,103
boxes (framed originals,1
boxes (including outsize,1
boxes [x],1
boxes [x]-[x],2
boxes including [x] oversize box,1
boxes total,1
boxes) [x] oversize folder,1
"boxes, bound records",1
"boxes, oversize items",1
brochures,3
broken,2
broken plates,1
brown folder,1
bundle,14
bundles,4
by Alliance Commercial Photo Co,1
by Baker,1
by Balthazar Korab,5
by Daniel Bartush,1
by Greg Hursley,4
"by Hursley, Lark",1
"by Irving Underhill, Photographer",1
"by Manning Bros., Commercial Photographers",1
"by N. L. Coe, Son",1
"by Santangelo Studio, Pottstown",1
by unknown photographer,1
by unknown photographers,1
ca [x] [x]x[x] b/w negatives,1
ca. [x],3
ca. [x] Mbytes of digital files,1
ca. [x] [x]mm negative strips,1
ca. [x] [x]x[x] b/e negatives,1
ca. [x] audiotapes,1
ca. [x] b/w prints,1
ca. [x] coor prints with [x]mm negatives,1
ca. [x] copy prints,1
ca. [x] dance cards,1
ca. [x] drawings,2
ca. [x] feet Michigan State Archives,1
"ca. [x] films, videotapes",2
ca. [x] glass negatives,1
ca. [x] hour,1
ca. [x] hours,1
ca. [x] images,2
ca. [x] in,1
ca. [x] inches,1
ca. [x] items,8
ca. [x] linear feet,2
ca. [x] linear foot,1
ca. [x] linear ft. at Bentley Library,1
ca. [x] min,15
ca. [x] min.): [x] [x]/[x] ips,2
"ca. [x] min., color",1
ca. [x] minutes,7
ca. [x] negatives,5
ca. [x] p,1
ca. [x] photographs,5
ca. [x] slides,2
ca. [x] sound cassettes,1
ca. [x] titles,2
ca. [x] volumes,2
ca. [x]-[x] min,1
ca. [x]x[x] black and white photographs folders,1
ca. linear feet,2
ca. linear foot,1
call no. UBImul/B[x],1
can,1
canister,2
cans,4
card,5
card boxes,1
card file box,2
card file boxes,1
"card file boxes, binder",1
cards,19
carousel,1
carrying case,2
case of [x] cassette tapes,1
cassete tapes,1
cassette,334
cassette [x] minutes,5
cassette boxes,1
cassette sound recordings,1
cassette tape,13
cassette tapes,32
cassette tapes: [x] sides,1
cassettes,314
cassettes folders,1
cassettes with duplicate copies,1
"cassettes, a vinyl case",1
"cassettes, case",1
catalogues,1
cd,151
cd case,2
cd cs,2
"cd, May be bad",1
"cd, constact sheet",1
"cd, contact sheet",1
"cd, contact sheets",1
"cd, cs",56
"cd, eps files",1
"cd, pdf",1
"cd, s",1
"cd, thumbnails",1
cd-r,7
cd-rom,1
cdS,1
cd[x],1
cds,51
"cds, contact sheets",3
"cds, cs",27
cds. cs,1
chapters,1
circa [x] sheets,1
col. maps,1
color,2
color Polaroid print,1
color [x]x[x]s,1
color contact sheet,1
color photographs,8
"color photos, negatives",1
color positive print,2
color print,7
color prints,10
color slides,46
"color slides by Gary Desmond, Photographer",1
color slides with index,1
"color slides, folder",2
color snapshot,1
color snapshots,4
color transparencies,2
"color, b/w negs",1
"color, black and white slides",1
colored pencil on tracing paper,1
columnar pads,1
compact discs,7
"complete issues, fragments",1
contact sheet,11
"contact sheet (see also ""Witness"" for other contact sheet",1
contact sheet only,1
contact sheets,28
"contact sheets (see also ""Sitting Harlequin""",1
