ht identifier,rights,oclc numbers,source institution record number,title,enumeration/chronology,publication date
mdp.39015046385129,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015015274544,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015003741033,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015059955537,ic,78061,000000933,"Female sexuality; new psychoanalytic views, by Janine Chasseguet-Smirgel, with C.-J. Luquet-Parat [and others] Foreword by Frederic Wyatt.",,1970
mdp.39015031345047,ic,118211,000001663,"Indian trade unions; structure and function, by Fred C. Munson.",,1970
mdp.39015013250538,ic,121677,000001725,International airlines and politics; a study in adaptation to change [by] Robert L. Thornton.,no.13,1970
uc1.b4401867,ic,137471,b168117721,State development agencies and employment expansion [by] Alfred S. Eichner. Foreword by Eli Ginzberg.,,1970
mdp.39015030794393,ic,138719,000002030,New imperatives for today's policy makers [by] H. Bruce Palmer.,,1970
mdp.39015002878034,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,,1967
mdp.39015003403162,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,,1967
mdp.39015023464624,ic,158958,000002398,Retrofitting machine tools; converting conventional machine tools to numerical control [by] James M. Hardy.,cop.2,1967
mdp.39015027423154,ic,164995,000002497,Economic priorities in the 1970s [by] Paul W. McCracken.,,1970
mdp.39015021354074,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",,1969
mdp.39015008098793,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",,1969
mdp.39015008793690,ic,179724,000002663,"The Chinese economy, ca. 1870-1911.",no.5,1969
mdp.39015007547865,ic,189340,000002766,"The myth of the ruling class : Gaetano Mosca and the ""elite"" ; with the first English translation of the final version of The theory of the ruling class. Foreword, 1962.",,1962
mdp.39015046354265,ic,189340,000002766,"The myth of the ruling class : Gaetano Mosca and the ""elite"" ; with the first English translation of the final version of The theory of the ruling class. Foreword, 1962.",,1962
mdp.39015019387102,und,191298,000002779,"Chinese paintings in Chinese publications, 1956-1968 : an annotated bibliography and an index to the paintings / by E. J. Laing.",,1969
mdp.39015022795275,und,191298,000002779,"Chinese paintings in Chinese publications, 1956-1968 : an annotated bibliography and an index to the paintings / by E. J. Laing.",,1969
mdp.39015051304940,ic-world,209509,000003045,White attitudes toward black people.,,1971
mdp.39015000644594,ic-world,209509,000003045,White attitudes toward black people.,,1971
mdp.39015002172438,ic-world,209509,000003045,White attitudes toward black people.,,1971
mdp.39076005555409,ic,209509,000003045,White attitudes toward black people.,,1971
uc1.b4273690,ic,209983,b170966951,Public employee relations in West Germany [by] William H. McPherson.,,1971
mdp.39015058341184,ic,209983,000003054,Public employee relations in West Germany [by] William H. McPherson.,,1971
mdp.39015028126905,ic,213840,000003125,Collective bargaining rights of state officials in Sweden [by] Stig Jägerskiöld.,,1971
uc1.b3270863,ic,213840,.b169735473,Collective bargaining rights of state officials in Sweden [by] Stig Jägerskiöld.,,1971
mdp.39015028126913,ic,214439,000003131,Public employee unionism in Israel.,,1971
mdp.39015014762242,ic,215045,000003137,Collective bargaining by public employees in Canada: five models [by] H. W. Arthurs.,,1971
mdp.39015009046403,ic,215046,000003138,Public employee trade unionism in the United Kingdom: the legal framework [by] B. A. Hepple [and] Paul O'Higgins.,,1971
mdp.39015058341176,ic,216323,000003164,Collective bargaining by national employees in the United Kingdom.,,1971
uc1.b3358224,ic,216323,.b169060755,Collective bargaining by national employees in the United Kingdom.,,1971
mdp.39015028129461,ic,221692,000003255,The state and government employee unions in France.,,1971
mdp.39015022958923,ic,228136,000003333,Three essays on the international economics of Communist China.,,1959
mdp.39015013337442,ic,228136,000003333,Three essays on the international economics of Communist China.,,1959
mdp.39015028129172,ic,235818,000003424,Public employee unionism in Belgium.,,1971
mdp.39015002446212,ic,37040603,000003443,"The calculus of consent, logical foundations of constitutional democracy [by] James M. Buchanan and Gordon Tullock.",,1965
mdp.39015002446378,ic,37040603,000003443,"The calculus of consent, logical foundations of constitutional democracy [by] James M. Buchanan and Gordon Tullock.",,1965
mdp.39015005937357,ic,37040603,000003443,"The calculus of consent, logical foundations of constitutional democracy [by] James M. Buchanan and Gordon Tullock.",,1965
mdp.39015066017743,ic,37040603,000003443,"The calculus of consent, logical foundations of constitutional democracy [by] James M. Buchanan and Gordon Tullock.",,1965
mdp.39015002601568,ic,37040603,000003443,"The calculus of consent, logical foundations of constitutional democracy [by] James M. Buchanan and Gordon Tullock.",,1965
uc1.b3240753,pd,280323,".b169752963,GLAD117753208-B","Economic planning for better schools; a study of how to use available resources to best advantage--through capital budgeting--in meeting the changing needs of education. College of Architecture and Design, the University of Michigan, Ann Arbor.",,1960
mdp.39015007226718,pd,280323,000004031,"Economic planning for better schools; a study of how to use available resources to best advantage--through capital budgeting--in meeting the changing needs of education. College of Architecture and Design, the University of Michigan, Ann Arbor.",,1960
mdp.39015070535706,pd,280323,000004031,"Economic planning for better schools; a study of how to use available resources to best advantage--through capital budgeting--in meeting the changing needs of education. College of Architecture and Design, the University of Michigan, Ann Arbor.",,1960
uc1.b3526760,pd,280323,".b169752963,GLAD117753208-B","Economic planning for better schools; a study of how to use available resources to best advantage--through capital budgeting--in meeting the changing needs of education. College of Architecture and Design, the University of Michigan, Ann Arbor.",,1960
mdp.39015003883397,ic,309455,000004417,Sophocles and Oedipus: a study of Oedipus Tyrannus with a new translation.,,1971
uc1.32106001538690,ic,309455,.b13465119,Sophocles and Oedipus: a study of Oedipus Tyrannus with a new translation.,,1971
mdp.39015032029079,ic,318812,000004553,"Two studies in Chinese literature [by] Li Chi [and] Dale Johnson. [With an introd., commentary, notes and bibliography by Chang Chun-shu]",,1968
mdp.39015028151721,ic,318812,000004553,"Two studies in Chinese literature [by] Li Chi [and] Dale Johnson. [With an introd., commentary, notes and bibliography by Chang Chun-shu]",,1968
mdp.39015002005158,ic,342572,000004940,Two-person game theory; the essential ideas.,,1966
mdp.39015011940221,ic,342572,000004940,Two-person game theory; the essential ideas.,,1966
mdp.39015004500735,ic,342572,000004940,Two-person game theory; the essential ideas.,,1966
mdp.39015016525076,ic,342572,000004940,Two-person game theory; the essential ideas.,,1966
umn.31951002129738g,ic,342572,001551024,Two-person game theory; the essential ideas.,,1966
mdp.39015000789027,ic,388472,000005450,Child growth.,,1972
wu.89054837083,und,390760,3424093,"Fishes of the Great Lakes region, with a new preface / by Carl L. Hubbs and Karl F. Lagler.",,1964
mdp.39015003728287,und,390760,000005499,"Fishes of the Great Lakes region, with a new preface / by Carl L. Hubbs and Karl F. Lagler.",,1964
uc1.b5116375,ic,416285,b168244317,"Organization research on health institutions. Basil S. Georgopoulos, editor.",,1972
mdp.39015015644571,ic-world,416285,000005816,"Organization research on health institutions. Basil S. Georgopoulos, editor.",,1972
mdp.39015011655894,ic-world,416285,000005816,"Organization research on health institutions. Basil S. Georgopoulos, editor.",,1972
uc1.b3270941,ic,433170,.b169733737,The oracles of the law / by John P. Dawson,,1968
uc1.31822013554357,ic,445309,.b14233757,"The economy of communist China, 1949-1969. With a bibliography of selected materials on Chinese economic development",,1971
mdp.39015022795259,ic,445309,000006125,"The economy of communist China, 1949-1969. With a bibliography of selected materials on Chinese economic development",,1971
mdp.39015008319850,ic,445309,000006125,"The economy of communist China, 1949-1969. With a bibliography of selected materials on Chinese economic development",,1971
mdp.39015004987692,ic,483040,000006439,The defense never rests; the art of cross-examination [by] F. Lee Bailey.,,1971
mdp.39015005188019,ic,367616,000006572,"Bride of the revolution; Krupskaya and Lenin, by Robert H. McNeal.",,1972
mdp.39015061400316,ic,515530,000006916,"The Williams collection of Far Eastern ceramics. Chinese, Siamese, and Annamese ceramic wares selected from the collection of Justice and Mrs. G. Mennen Williams in the University of Michigan Museum of Anthropology. Catalogue of an exhibition held in the West Gallery of the Horace H. Rackham School of Graduate Studies, Mar. 1-30, 1972.",,1972
uc1.b4903316,ic,518891,b167352325,"Residential mobility of Negroes in Detroit, 1837-1965.",,1972
uc1.b3722038,ic,545578,GLAD151417859-B,"The doctor, the hospital, and the patient in England: rights and responsibilities under National Health Service [by] Arthur F. Southwick, Jr.",,1967
mdp.39015001580581,ic-world,556738,000007552,Mammals of the Great Lakes region.,,1972
mdp.39015028129180,ic,589928,000007999,Public employment compulsory arbitration in Australia [by] Gerald E. Caiden.,,1971
mdp.39015010433194,ic,598692,000008153,Numerical control justification; a methodology [by] Wilbert Steffy [and others],,1967
mdp.39015003403063,ic,598692,000008153,Numerical control justification; a methodology [by] Wilbert Steffy [and others],,1967
mdp.39015004503234,ic,598692,000008153,Numerical control justification; a methodology [by] Wilbert Steffy [and others],,1967
mdp.39015008319843,ic,5991161,000008214,Educated youth and the cultural revolution in China.,,1971
mdp.39015013292084,ic,4819750,000008223,"On old age, and On friendship. Translated, with an introd., by Frank O. Copley.",,1971
mdp.39015022077930,ic,4819750,000008223,"On old age, and On friendship. Translated, with an introd., by Frank O. Copley.",,1971
mdp.39015059289879,und,611648,000008380,"Modern China, 1840-1972; an introduction to sources and research aids",,1973
mdp.39015011890491,ic,614399,000008440,Topography and architecture of Seleucia on the Tigris. Edited by Clark Hopkins.,,1972
mdp.39015054240778,ic,649971,000009028,"Training for change agents; a guide to the design of training programs in education and other fields [by] Ronald G. Havelock and Mary C. Havelock, with the staff and participants of the Michigan Conference on Educational Change Agent Training (CECAT).",,1973
mdp.39015031452975,ic,649971,000009028,"Training for change agents; a guide to the design of training programs in education and other fields [by] Ronald G. Havelock and Mary C. Havelock, with the staff and participants of the Michigan Conference on Educational Change Agent Training (CECAT).",,1973
mdp.39015016203740,ic-world,665380,000009329,"Cross-age helping program; orientation, training and related materials.",,1971
mdp.39015011604967,ic,672589,000009472,State of the Black economy: symposium 1972. Edited by Gerald F. Whittaker.,,1973
mdp.39015027982670,ic,672589,000009472,State of the Black economy: symposium 1972. Edited by Gerald F. Whittaker.,,1973
mdp.39015022795234,ic,611250,000009529,Nineteenth century China: five imperialist perspectives. selected by Dilip Basu. Edited and with an introd. by Rhoads Murphey.,,1972
mdp.39015008012190,ic,611250,000009529,Nineteenth century China: five imperialist perspectives. selected by Dilip Basu. Edited and with an introd. by Rhoads Murphey.,,1972
mdp.39015030442704,ic,725250,000010461,Government agricultural investment in Nigeria: 1962-67; final report on project no. 25 [by] Jerome C. Wells.,,1969
uc1.b4398018,ic,491447,"b168105020,GLAD33585327-B","Evolution and culture, by Thomas G. Harding [and others] Edited by Marshall D. Sahlins & Elman R. Service. Foreword by Leslie A. White.",,1960
uc1.b4346706,ic,491447,"b168105020,GLAD33585327-B","Evolution and culture, by Thomas G. Harding [and others] Edited by Marshall D. Sahlins & Elman R. Service. Foreword by Leslie A. White.",copy 3,1960
mdp.39015006746336,ic,491447,000011417,"Evolution and culture, by Thomas G. Harding [and others] Edited by Marshall D. Sahlins & Elman R. Service. Foreword by Leslie A. White.",,1960
mdp.39015005566313,und,491447,000011417,"Evolution and culture, by Thomas G. Harding [and others] Edited by Marshall D. Sahlins & Elman R. Service. Foreword by Leslie A. White.",,1960
mdp.39015015191334,ic,491447,000011417,"Evolution and culture, by Thomas G. Harding [and others] Edited by Marshall D. Sahlins & Elman R. Service. Foreword by Leslie A. White.",,1960
wu.89046871521,ic,733749,2773311,"Housing market opportunities; industrialized housing, new towns, and rehabilitation. Edited by Kenneth L. Bernhardt.",,1972
mdp.39015078178780,ic-world,785230,000011543,"The role of the change agent in family planning programs, by J. William Wenrich.",,1970
mdp.39015007255733,ic,823172,000012551,"Government of Michigan under the 1964 Constitution, by Robert W. Carr.",,1967
mdp.39015004958677,ic,823172,000012551,"Government of Michigan under the 1964 Constitution, by Robert W. Carr.",,1967
mdp.39015001248973,ic,838109,000012851,"Botanical exploration in Nueva Galicia, Mexico; from 1790 to the present time.",v.9 no.3-8 1972,1972
mdp.39015001248965,ic,838109,000012851,"Botanical exploration in Nueva Galicia, Mexico; from 1790 to the present time.",v.9 no.3-8 1972,1972
mdp.39015006744836,ic,855652,000013156,Vacation housing and recreation land development. Edited by Kenneth L. Bernhardt.,,1973
mdp.39015007257622,ic,855652,000013156,Vacation housing and recreation land development. Edited by Kenneth L. Bernhardt.,,1973
uc1.b4251402,ic,"214208237,867536",GLAD387543-B,Truth and value in Nietzsche; a study of his metaethics and epistemology [by] John T. Wilcox. With a foreword by Walter Kaufmann.,copy 2,1974
mdp.39015005269991,ic,"214208237,867536",000013431,Truth and value in Nietzsche; a study of his metaethics and epistemology [by] John T. Wilcox. With a foreword by Walter Kaufmann.,,1974
uc1.b4360777,ic,895431,b167876910,Human service organizations: a book of readings [by] Yeheskel Hasenfeld and Richard A. English.,,1974
mdp.39015002177866,ic,895431,000014484,Human service organizations: a book of readings [by] Yeheskel Hasenfeld and Richard A. English.,,1974
mdp.39015015292900,ic,895431,000014484,Human service organizations: a book of readings [by] Yeheskel Hasenfeld and Richard A. English.,,1974
mdp.39015015292710,ic,895431,000014484,Human service organizations: a book of readings [by] Yeheskel Hasenfeld and Richard A. English.,,1974
mdp.39015054280717,ic,895431,000014484,Human service organizations: a book of readings [by] Yeheskel Hasenfeld and Richard A. English.,,1974
mdp.39015021967800,ic,941005,000015149,Can we control inflation? [By] James S. Duesenberry.,,1974
mdp.39015048754470,und,995766,000016275,"Data on the abnormal hemoglobins and glucose-6-phosphate dehydrogenase deficiency in human populations, 1967-1973, by Frank B. Livingstone.",,1973
mdp.39015024372248,ic,998334,000016303,Urban transportation policy: an annotated bibliography.,,1973
uc1.32106006039629,ic,783410,.b13627491,Local exchange and early state development in southwestern Iran.,,1973
mdp.39015023453197,ic,1019040,000016763,"A national problem-solving system: highway safety researchers and decision makers, by Ronald G. Havelock [and] Elizabeth A. Markowitz.",,1971
mdp.39015013112704,ic,3150084,000016795,Where women work: a study of Yoruba women in the marketplace and in the home.,no.53,1973
uc1.b4949110,ic,5126103,b167502499,Trying to explain / Donald Davie.,,1979
mdp.39015040108055,ic,5126103,000017702,Trying to explain / Donald Davie.,,1979
mdp.39015002652595,ic,1205845,000017943,"The Confucian vision / edited, with an introd. and new translations, by William McNaughton.",,1974
mdp.39015014778321,ic,1531055,000019293,Fears and fallacies : equal opportunities in the 1970s / Edith Green.,,1975
mdp.39015028138306,ic,1531055,000019293,Fears and fallacies : equal opportunities in the 1970s / Edith Green.,,1975
mdp.39015004035450,ic,1380542,000019933,"Affirmative action : its legal mandate and organizational implications / by Jamie Beth Catlin, John A. Seeley, Margaret Talburtt.",,1974
mdp.39015008638374,ic,1380569,000019938,"And pleasantly ignore my sex : academic woman, 1974 / by Dianne S. Peters.",,1974
mdp.39015026876444,ic,1390211,000020604,"Index to the Chan-kuo Ts'e, by Sharon J. Fidler with J.I. Crump.",,1974
mdp.39015003319764,ic-world,65662617,000020653,"A study of interviewer-respondent interaction in the urban employment survey; prepared for the Manpower Administration, U. S. Dept of Labor [by] Kent H. Marquis [and] Charles F. Connell.",,1969
mdp.39015005291144,ic,5892707,000020703,Thinking about morality / William K. Frankena.,,1980
uc1.b4917051,ic,5892707,.b123053997,Thinking about morality / William K. Frankena.,,1980
mdp.39015023393112,ic,1532651,000021313,"Cell biology / authors, Seong S. Han, Ruth Ashley, Gary Hann ; artist, Carol Bardolph ; editorial assistance, Karen Schaefer ; assistants in content development, Carol Drinkard, David Howard.",,1974
mdp.39015049558334,ic,1532651,000021313,"Cell biology / authors, Seong S. Han, Ruth Ashley, Gary Hann ; artist, Carol Bardolph ; editorial assistance, Karen Schaefer ; assistants in content development, Carol Drinkard, David Howard.",,1974
mdp.39015072125100,ic-world,1407562,000022030,"A technique for evaluating interviewer performance [by] Charles F. Cannell, Sally A. Lawson [and] Doris L. Hausser.",,1975
mdp.39015055673795,ic,11438300,000022411,"Dental materials workbook / Kamal Asgar, John M. Powers, Robert G. Craig ; materials production : Daniel J. Pepin, Thomas G. Green.",,1974
mdp.39015016643176,und,1415810,000022594,Selective bibliography on museums and museum practice : museums of art and history in the United States.,,1974
mdp.39015005196863,und,1623507,000023086,Chinese and Japanese music-dramas / edited by J. I. Crump and William P. Malm.,,1975
mdp.39015022795218,und,1623507,000023086,Chinese and Japanese music-dramas / edited by J. I. Crump and William P. Malm.,,1975
mdp.39015009426282,und,1623507,000023086,Chinese and Japanese music-dramas / edited by J. I. Crump and William P. Malm.,,1975
mdp.39015027250573,ic,1245584,000024192,Black neighborhoods : an assessment of community power / Donald I. Warren.,,1975
mdp.39015048310752,ic,1245584,000024192,Black neighborhoods : an assessment of community power / Donald I. Warren.,,1975
mdp.39015040485867,ic,1245584,000024192,Black neighborhoods : an assessment of community power / Donald I. Warren.,,1975
mdp.39015003962019,ic,1245584,000024192,Black neighborhoods : an assessment of community power / Donald I. Warren.,,1975
mdp.39015050495632,ic,1245584,000024192,Black neighborhoods : an assessment of community power / Donald I. Warren.,,1975
mdp.39015000656226,ic,5946343,000024249,The beginnings of imperial Rome : Rome in the mid-Republic / Chester G. Starr.,,1980
mdp.39015040483607,ic,34226,000024926,Federal training and work programs in the sixties [by] Sar A. Levitan [and] Garth L. Mangum.,,1969
mdp.39015015296554,ic,34226,000024926,Federal training and work programs in the sixties [by] Sar A. Levitan [and] Garth L. Mangum.,,1969
mdp.39015012000595,ic,1064969,000025170,"Economic guidelines for justifying capital purchases with numerical control emphasis. By Wilbert Steffy, Donald N. Smith [and] Donald Souter.",,1973
mdp.39015012000447,ic,1064969,000025170,"Economic guidelines for justifying capital purchases with numerical control emphasis. By Wilbert Steffy, Donald N. Smith [and] Donald Souter.",,1973
wu.89046868527,ic,1064969,2759882,"Economic guidelines for justifying capital purchases with numerical control emphasis. By Wilbert Steffy, Donald N. Smith [and] Donald Souter.",,1973
wu.89046868543,ic,1064969,2759882,"Economic guidelines for justifying capital purchases with numerical control emphasis. By Wilbert Steffy, Donald N. Smith [and] Donald Souter.",,1973
mdp.39015030033172,ic,1064979,000025173,Production technology advancements: a forecast to 1988.,,1973
mdp.39015003999235,ic,1064979,000025173,Production technology advancements: a forecast to 1988.,,1973
mdp.39015005749695,ic,1078178,000026599,Projecting college and university enrollments: analyzing the past and focusing the future by Wayne L. Mangelson and others.,,1974
mdp.39015058008551,ic,1637752,000027849,"Mergers : motives, effects, policies / Peter O. Steiner.",,1975
uc1.32106000903218,ic,1637752,.b13436739,"Mergers : motives, effects, policies / Peter O. Steiner.",,1975
mdp.39015004323039,ic,4004681,000028724,"Parents on the team / editors, by Sara L. Brown and Martha S. Moersch.",,1978
mdp.39015016206040,ic,4004681,000028724,"Parents on the team / editors, by Sara L. Brown and Martha S. Moersch.",,1978
mdp.39015005331486,ic,4004681,000028724,"Parents on the team / editors, by Sara L. Brown and Martha S. Moersch.",,1978
mdp.39015000616725,ic-world,4004681,000028724,"Parents on the team / editors, by Sara L. Brown and Martha S. Moersch.",,1978
uc1.b4967418,ic,4004681,.b167577645,"Parents on the team / editors, by Sara L. Brown and Martha S. Moersch.",,1978
mdp.39015010185109,und,1092455,000029524,"New and reconsidered Mexican Umbelliferae, by Mildred E. Mathias and Lincoln Constance.",v.11 1973-1978,1973
mdp.39015001248981,ic,1092455,000029524,"New and reconsidered Mexican Umbelliferae, by Mildred E. Mathias and Lincoln Constance.",v.11 1973-1978,1973
mdp.39015006398450,ic-world,5126089,000029554,Nuclear power : technology on trial / James J. Duderstadt and Chihiro Kikuchi.,,1979
mdp.39015003403014,ic-world,5126089,000029554,Nuclear power : technology on trial / James J. Duderstadt and Chihiro Kikuchi.,,1979
mdp.39015004511443,ic-world,5126089,000029554,Nuclear power : technology on trial / James J. Duderstadt and Chihiro Kikuchi.,,1979
mdp.39015055671120,ic,65663430,000030256,"Pedodontics 642 / Frederick G. More, Richard E. Corpron.",,1976
mdp.39015023392783,ic,65663431,000030270,Oral surgery 738 / James R. Hayward.,,1976
mdp.39015049558649,ic,65663431,000030270,Oral surgery 738 / James R. Hayward.,,1976
uc1.31822004545141,ic,1103678,.b1488009x,"China's allocation of fixed capital investment, 1952-1957 / by Chu-yuan Cheng",,1974
mdp.39015022795200,ic,1103678,000032885,"China's allocation of fixed capital investment, 1952-1957 / by Chu-yuan Cheng",,1974
mdp.39015077601170,und,1498383,005581847,The Ait Ndhir of Morocco : a study of the social transformation of a Berber tribe / by Amal Rassam Vinogradov.,,1974
hvd.hx4al1,ic,1498383,000703418,The Ait Ndhir of Morocco : a study of the social transformation of a Berber tribe / by Amal Rassam Vinogradov.,,1974
uc1.32106006325960,ic,1498383,.b13617874,The Ait Ndhir of Morocco : a study of the social transformation of a Berber tribe / by Amal Rassam Vinogradov.,,1974
mdp.39015007423828,ic,3706544,000033585,"Control mechanisms in craniofacial growth : proceedings of a sponsored symposium honoring Professor Robert E. Moyers held April 26th and 27th, 1974 in Ann Arbor, Michigan. / edited by James A. McNamara, Jr.",,1975
mdp.39015051298563,ic,1313951,000033893,Under lock and key; juveniles in jails and detention / Rosemary C. Sarri.,,1974
mdp.39015003877266,ic,1313951,000033893,Under lock and key; juveniles in jails and detention / Rosemary C. Sarri.,,1974
mdp.39015013219202,ic-world,1120676,000034282,A Guide for selecting statistical techniques for analyzing social science data [by] Frank M. Andrews [and others.,,1974
mdp.39015006465713,ic-world,1120676,000034282,A Guide for selecting statistical techniques for analyzing social science data [by] Frank M. Andrews [and others.,,1974
uc1.b4322935,ic,5310513,.b171614719,The hare and the tortoise : clean air policies in the United States and Sweden / Lennart J. Lundqvist,,1980
mdp.39015070977023,ic,1583870,000034939,Selected bibliography and abstracts for ambulatory health care computer applications / for [i.e. by] Health Care Management Systems.,,1975
uc1.32106005010605,ic,5219110,.b14183018,China's transition to industrialism : producer goods and economic development in the twentieth century / Thomas G. Rawski.,,1980
mdp.39015022796075,ic,1722271,000035259,Rebellion in nineteenth-century China / by Albert Feuerwerker.,,1975
mdp.39015002247032,ic,1130193,000035913,"Racial negotiations, potentials & limitations / W. Ellison Chalmers.",,1974
mdp.39015007490694,ic,1133213,000036283,"A partial annotated bibliography of mathematical models in ecology. A contribution of the Analysis of Ecosystems Program, U.S. International Biological Program. Supported by the National Science Foundation grant GB7840, John A. Kadlec, principal investigator.",,1971
uc1.32106011732085,ic,3010391,.b11556894,"Japanese perspectives on China's early modernization : the self-strengthening movement, 1860-1895 : a bibliographical survey / by K.H. Kim",,1974
mdp.39015042922958,ic,3010391,000036310,"Japanese perspectives on China's early modernization : the self-strengthening movement, 1860-1895 : a bibliographical survey / by K.H. Kim",,1974
mdp.39015055615390,ic,1503622,000036423,"An Atlas of craniofacial growth : cephalometric standards from the University school growth study, the University of Michigan / by Michael L. Riolo ... [et al.].",,1974
mdp.39015000823594,ic,1503622,000036423,"An Atlas of craniofacial growth : cephalometric standards from the University school growth study, the University of Michigan / by Michael L. Riolo ... [et al.].",,1974
mdp.39015009859391,ic,1503622,000036423,"An Atlas of craniofacial growth : cephalometric standards from the University school growth study, the University of Michigan / by Michael L. Riolo ... [et al.].",,1974
mdp.39015006747888,ic,1504627,000036990,"The poet-painters, Buson and his followers : an exhibition, the University of Michigan Museum of Art, Ann Arbor, January 9-February 17, 1974 ; the Seattle Art Museum, Washington, March 28-May 12, 1974 ; the Asia House Gallery, New York, October 3-December 1, 1974 / organized by Calvin L. French, in collaboration with Stephen Addiss ... [et al.].",,1974
mdp.39015072116240,ic,1140947,000037178,Community organization practice for family and population planning.,,1974
mdp.39015004053479,ic,5777344,000038180,Bibliography of reference works for Japanese studies / edited by Naomi Fukuda.,,1979
uc1.b3971448,ic,1157219,GLAD192061-B,A sampler of women's studies; papers by Selma Jeanne Cohen [and others] Edited by Dorothy Gies McGuigan.,,1973
mdp.39015015289419,ic,5219223,000039425,"Matrix organization & project management / edited by Raymond Hill, Bernard J. White.",,1979
mdp.39015003230938,ic,1599952,000039619,A study of child variance : #b exercise book / William C. Rhodes.,,1975
mdp.39015023393005,und,5663599,000041137,"Graduate oral histology / authors, James K. Avery ... [et al.] ; materials production, Ruth Ashley, Phillip J. Kovacs.",,1974
mdp.39015010538232,ic,1354656,000041692,A Prison library plan / by Lora Bennett... [et al.],,1974
mdp.39015004117605,und,1362669,000042129,Alternate futures for the public library / Genevieve M. Casey. Intellectual freedom and the librarian / Richard L. Darling.,,1973
mdp.39015022794732,ic,5992576,000043314,Voices from afar : modern Chinese writers on oppressed peoples and their literature / by Irene Eber.,,1980
mdp.39015010125923,ic,1195635,000043690,New research on women at the University of Michigan. Edited by Dorothy G. McGuigan.,,1974
mdp.39015016215249,ic,4493593,000044670,Health needs of children / by Roger Manela and Armand Lauffer ; with contributions by Eugene Feingold and Ruben Meyer.,,1979
mdp.39015053399203,ic,4493593,000044670,Health needs of children / by Roger Manela and Armand Lauffer ; with contributions by Eugene Feingold and Ruben Meyer.,,1979
mdp.39015053403823,ic,4493593,000044670,Health needs of children / by Roger Manela and Armand Lauffer ; with contributions by Eugene Feingold and Ruben Meyer.,,1979
mdp.39015028102583,ic,1527479,000044782,Campaigns of the American Revolution : an atlas of manuscript maps / by Douglas W. Marshall and Howard H. Peckham.,,1976
uc1.l0067519777,ic,1757325,48631,Contributions from the University of Michigan Herbarium.,v.17-18 yr.1990-92,1992
mdp.39015042184195,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.9 1966-1972,1972
mdp.39015042184211,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.10 1973,1973
mdp.39015042512924,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.11 1973-78,1978
mdp.39015042184237,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.13 1978,1978
mdp.39015042184229,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.14 1980,1980
mdp.39015042539281,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.15 1982,1982
mdp.39015028671066,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.17 1990,1990
mdp.39015028958919,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.18-19 1992-93,1993
mdp.39015001248940,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.1-8 1939-1942,1942
mdp.39015006824356,und,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.1-8 Index,9999
mdp.39015001248916,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.6-8 1941-1942,1942
mdp.39015006163243,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.14-15 1980-1982,1982
mdp.39015013556504,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.16 1987,1987
mdp.39015023804233,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.17-18 1990-1992,1992
mdp.39015027133431,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.19 1993,1993
mdp.39015049065454,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.20 1995,1995
mdp.39015049065462,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.21 1997,1997
mdp.39015053958958,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.22 1999,1999
mdp.39015053958800,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.23 2001,2001
mdp.39015045808972,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.11 no.1-2 1973-75,1975
mdp.39015045809129,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.11 no.2 1975,1975
mdp.39015045809277,ic,1757325,000045490,Contributions from the University of Michigan Herbarium.,v.11 no.4-5 1978,1978
