num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,48642696,004288559,mdp,High-intensity participation : the dynamics of party activism in Britain / Paul F. Whiteley and Patrick Seyd.,"The University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,48970850,004091002,mdp,"Alternative uses for Wolverine Tube and Beard/Chatfield brownfield sites / prepared by: Ann Brooks ... [et al] ; Urban Planning 634, Winter 2000, Margaret Dewar, Professor ; Urban and Regional Planning, University of Michigan.","University of Michigan, 2000]",ic,,,2000,2000,
1,23319832,001367998,mdp,A reader of Pashto.,University of Michigan Press [1965],ic,,,1965,1965,
1,3074399,002892983,mdp,The Boston Tea Party : catalyst for revolution : an exhibition commemorating the 200th anniversary / by Arlene Phillips Kleeb.,"William L. Clements Library, University of Michigan, 1973.",pdus,,,1973,1973,
1,14664806,000581271,mdp,"The prediction of performance in clinical psychology, by E. Lowell Kelly and Donald W. Fiske.","University of Michigan Press, 1951.",pd,,,1951,1951,
1,23309045,000102311,mdp,Vocational rehabilitation standards : analysis of fiscal year 1979 data : national.,"Rehabilitation Research Institute, School of Education, University of Michigan, [1981]",ic,,,1981,1981,
1,20503380,000955710,mdp,Lectures on the law and labor-management relations.,"University of Michigan law School, 1951.",und,,,1951,1951,
1,11844882,a314987,pst,"Collection Assessment Task Force report : task force members, Maurita Holland ... [et al.].","The University of Michigan Library], 1983.",ic,,,1983,1983,
1,32698046,003090127,mdp,"Medical malpractice and the American jury : confronting the myths about jury incompetence, deep pockets, and outrageous damage awards / Neil Vidmar.","University of Michigan Press, c1996.",ic and ic-world,,,1996,1996,
1,49225821,004288142,mdp,"A world transformed : the politics of culture in revolutionary Vietnam, 1945-1965 / Kim N.B. Ninh.","University of Michigan Press, 2002.",ic-world,,,2002,2002,
1,71812900,005956896,mdp,"Powerful learning : Buddhist literati and the throne in Burma's last dynasty, 1752-1885 / Michael W. Charney.","Centers for South and Southeast Asian Studies, University of Michigan, c2006.",ic,,,2006,2006,
1,local (non-oclc): 005422755,005422755,mdp,Urban region park use and the elderly.,"University of Michigan, School of Natural Resources, Natural Resource Sociology Research Lab, 1991.",ic,,,1991,1991,
3,2052558,001464028,mdp,An intensive course in English.,"University of Michigan Press, [1958-59, c1954-58]",pd,,1-3,1959,1959,
1,3841701,000135047,mdp,The Cultural revolution : 1967 in review. Four essays by Michel Oksenberg ... [et al.]. Introd. by Alexander Eckstein.,"Center for Chinese Studies, University of Michigan, 1968.",ic,,,1968,1968,
1,52035219,000444245,mdp,Introduction to magnetic tapes.,"University of Michigan Computing Center, c1986.",ic-world,,,1986,1986,
1,586519,.b154716091,uc1,Towards administrative justice / by H.W.R. Wade.,"University of Michigan Press, c1963.",und,,,1963,1963,
1,309050,004551215,mdp,"Economic policies in the 1970s; six lectures on current economic issues given at Western Michigan University under the sponsorship of the Department of Economics, winter 1971. Alfred K. Ho, editor.","Bureau of Business Research, Graduate School of Business Administration, University of Michigan [c1971]",ic,,,1971,1971,
1,8938594,000201153,mdp,"Species limits in the Indigobirds (Ploceidae, Vidua) of West Africa : mouth mimicry, song mimicry, and description of new species / by Robert B. Payne.","Museum of Zoology, University of Michigan, 1982.",ic,,,1982,1982,
1,60796280,005084728,mdp,Writing Ann Arbor : a literary anthology / edited by Laurence Goldstein.,"University of Michigan Press, c2005.",ic,,,2005,2005,
1,17457410,002500703,mdp,River basin development : dilemmas for peasants and planners / by Bill Derman.,"Center for Research on Economic Development, University of Michigan, [1987]",ic,,,1987,1987,
1,820750,001744529,mdp,Organized crime in America; a book of readings.,University of Michigan Press [1967],ic,,,1967,1967,
6,11392799,1540761,inu,"Karawitan : source readings in Javanese Gamelan and vocal music / Judith Becker, editor, Alan H. Feinstein, assistant editor ; Hardja Susilo, Sumarsam, A.L. Becker, consultants","Center for South and Southeast Asian Studies, University of Michigan, 1984-c1988",ic,,1-3,1988,1988,
1,35060705,000386501,mdp,A profile of social work graduates.,"The University of Michigan School of Social Work, [1975?]",ic,,,1975,1975,
1,74496627,.b26183614,uc1,"Understanding your refugee and immigrant students : an educational, cultural, and linguistic guide / Jeffra Flaitz","University of Michigan Press, c2006",ic,,,2006,2006,
1,5944173,000083399,mdp,"An introduction to Indochinese history, culture, language, and life : for persons involved with the Indochinese refugee education and resettlement project in the State of Michigan / edited by John K. Whitmore.","Center for South and Southeast Asian Studies, University of Michigan, 1979.",ic,,,1979,1979,
1,28378984,005809176,mdp,"The Jihād and its times / edited by Hadia Dajani-Shakeel, Ronald A. Messier.","Center for Near Eastern and North African Studies, University of Michigan, 1991.",ic-world,,,1991,1991,
1,2339717,000705492,mdp,"A look at the education of teachers : preservice and in-service : conference proceedings / editor, Charles D. Moody ; associate editors, Charles B. Vergon, Nikoletta T. Sobkowski.","Program for Educational Opportunity, School of Education, the University of Michigan, 1974.",und,,,1974,1974,
1,23108857,114430,inu,A test of the monophyly of the Manakins (Pipridae) and of the Cotingas (Cotingidae) based on morphology / by Richard O. Prum.,"University of Michigan, 1990.",ic,,,1990,1990,
