num_of_items,oclc identifier,source institution identifier,source,title,imprint,copyright statuses of publications in series,publication date range,enumerations,earliest publication,latest publication,all publication dates
1,265933,3842100,inu,"Karl Marx, the story of his life. Translated by Edward Fitzgerald. New introd. by Max Schachtman.",University of Michigan Press [1962],und,,,1962,1962,
1,78296228,005410756,mdp,Brush up on toothcare : a dental health coloring book / [edited by the University of Michigan Department of Educational Resources].,"[University of Michigan?], [19--]",und,,,1985,1985,
1,12411712,009917000,mdp,The Russian Revolution; a study of source material.,"University of Michigan, 1958.",pd,,,1958,1958,
1,2102112,001287319,mdp,"The Michigan Schoolmasters Club, a story of the first seven decades, 1886-1957.",University of Michigan [1958],pd,,,1958,1958,
1,48967785,004323671,mdp,"Poetry in the museums of modernism : Yeats, Pound, Moore, Stein / by Catherine E. Paul.","University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,5432,001390323,mdp,"Soviet ethics and morality, by Richard T. De George.",University of Michigan Press [1969],ic,,,1969,1969,
1,5433,001181982,mdp,"Word, sound, and image in the Odes of Horace [by] M. Owen Lee.",University of Michigan Press [1969],ic,,,1969,1969,
1,5436,000331938,mdp,The United States since 1865.,University of Michigan Press [1969],ic,,,1969,1969,
1,5434,002013330,mdp,"The lonely furrow; farming in the United States, Japan, and India.",University of Michigan Press [1969],ic,,,1969,1969,
1,5435,001015299,mdp,Young cherry trees secured against hares. Jeunes cerisiers garantis contre les lievres. Translations by Edouard Roditi. Drawings by Arshile Gorky.,"University of Michigan Press, [1969, c1946]",ic,,,1969,1969,
1,356570,001326330,mdp,Processes of organization.,"Survey Research Center, Institute for Social Research, University of Michigan, 1956.",ic-world,,,1956,1956,
1,66790965,000632919,mdp,Clinical endodontics procedure guide.,"Dept. of Endodontics, University of Michigan School of Dentistry, [1986?]",ic,1983-1986,,1983,1986,
1,179892,000781337,umn,The Greek and Latin literary texts from Greco-Roman Egypt,University of Michigan Press [1965],ic,,,1965,1965,
1,2818906,000721037,mdp,Birds in egg / by Gunnar Olsson.,"Department of Geography, University of Michigan, 1975.",ic,,,1975,1975,
1,34226,000024926,mdp,Federal training and work programs in the sixties [by] Sar A. Levitan [and] Garth L. Mangum.,"Institute of Labor and Industrial Relations, University of Michigan, Wayne State University [1969]",ic,,,1969,1969,
1,28148774,002788187,mdp,The possibility of popular justice : a case study of community mediation in the United States / edited by Sally Engle Merry and Neal Milner.,"University of Michigan Press, c1993.",ic-world,,,1993,1993,
1,1889524,001683049,mdp,"The comparative myology of the mammalian genera Sigmodon, Oryzomys, Neotoma, and Peromyscus (Cricetinae) with remarks on their intergeneric relationships.","University of Michigan Press, 1954.",ic,,,1954,1954,
1,33103375,003110193,mdp,Ralph J. Bunche : selected speeches and writings / edited with an introduction by Charles P. Henry.,"University of Michigan Press, c1995.",ic,,,1995,1995,
1,4506322,001416814,mdp,The Vespasian psalter / Edited by Sherman M. Kuhn.,"University of Michigan Press, [1965]",ic,,,1965,1965,
1,12584789,000322193,mdp,Type-specimens of amphibians in the University of Michigan Museum of Zoology.,"Museum of Zoology, University of Michigan, 1983.",ic,,,1983,1983,
8,175308395,a976440,pst,Annual report / Bentley Historical Library.,"University of Michigan, [1982?-",ic,1982-2007,,1982,2007,
1,556163,b168388832,uc1,Mammals of the Great Lakes region.,University of Michigan Press [1957],ic,,,1957,1957,
1,1126157,"001372751,003938406",mdp,The sources of John Dryden's comedies.,"University of Michigan Press, 1935.",pd,,,1935,1935,
1,local (non-oclc): .b164085142,.b164085142,uc1,Michigan pamphlets,"Bureau of Government, University of Michigan, 1939-#42#",ic,,,1942,1942,
2,2274245,000875652,mdp,"El libro del cauallero Zifar (El libro del Cauallero de Dios) edited from the three extant versions by Charles Philip Wagner. Part 1, Text.","University of Michigan, 1929.",ic and und,,1,1929,1929,
1,13059907,001077904,mdp,Planning national parks for ecodevelopment : methods and cases from Latin America / by Kenton R. Miller.,"Fundación para la Ecologia y para la Protección del Medio Ambiente ; [available from] Center for Strategic Wildland Management Studies, School of Natural Resources, The University of Michigan, 1982.",ic,,,1982,1982,
1,38042903,003321624,mdp,Strangers to the law : gay people on trial / Lisa Keen and Suzanne B. Goldberg.,"University of Michigan Press, c1998.",ic-world,,,1998,1998,
3,176245107,002131309,mdp,Report.,"Institute for Social Research, University of Michigan [etc.]",ic-world,1947-1950,,1947,1950,
1,69734600,.b26228336,uc1,Latin grammar / Dirk Panhuis,"University of Michigan Press, c2006",ic and ic-world,,,2006,2006,
1,893384,001164806,mdp,"History of the William L. Clements Library, 1923-1973; its development and its collections.","University of Michigan, 1973.",ic,,,1973,1973,
1,"45703681,47667367",003542702,mdp,"Preparing for a changing climate : the potential consequences of climate variability and change : Great Lakes, a summary / by the Great Lakes Regional Assessment Group for the U.S. Global Change Research Program.","University of Michigan, Dept. of Atmospheric, Oceanic and Space Sciences, c2000.",ic,,,2000,2000,
1,46851744,.b25970574,uc1,Conversational Tamil / K. Karunakaran,"University of Michigan Centers for South and Southeast Asian Studies, c2000",ic,,,2000,2000,
5,243919566,002208099,mdp,Finite elements in mechanical and structural design. Engineering Summer Conferences.,"University of Michigan, College of Engineering, [1984?-",ic and und,1988-1994,,1988,1994,
1,56892813,004934592,mdp,Crafting compositions : tools for today's writers / Janet Giannotti.,"University of Michigan Press, 2004.",ic,,,2004,2004,
1,43753092,001077277,mdp,Annual report / Cambridge Women's Welfare Association.,"University of Michigan, University Library, Preservation Office,",ic,,,1926,1926,
1,228136,000003333,mdp,Three essays on the international economics of Communist China.,"University of Michigan Press, published for [the] Center for Japanese Studies and the Dept. of Economics [1959]",ic,,,1959,1959,
1,13040334,003181358,mdp,Sylvania.,"School of Natural Resources, University of Michigan, 1965.",ic,,,1965,1965,
1,13677614,1598524,inu,A new unisexual salamander from Ohio / by Fred Kraus.,"Museum of Zoology and Division of Biological Sciences, The University of Michigan, 1985.",ic,,,1985,1985,
1,10066202,002198368,mdp,Velimir Xlebnikov's shorter poems : a key to the coinages / Ronald Vroon.,"Dept. of Slavic Languages and Literatures, University of Michigan, c1983.",ic,,,1983,1983,
1,1841474,001268387,mdp,Journey into northern Pennsylvania and the State of New York.,University of Michigan Press [1964],ic,,,1964,1964,
1,7640502,.b14414259,uc1,Politics and international relations in the Middle East : an annotated bibliography / by Clement M. Henry ; with the assistance of Jeffrey Wolff and Steven Heydemann.,"University of Michigan Center for Near Eastern and North African Studies, c1980.",ic,,,1980,1980,
1,51944336,003866352,mdp,Cities in the sea / Maura Stanton.,"University of Michigan Press, c2003.",ic,,,2003,2003,
1,31206186,003020820,mdp,The tremulous private body : essays on subjection / by Francis Barker.,"University of Michigan Press, c1995.",ic,,,1995,1995,
1,local (non-oclc): 003480973,003480973,miua,"Exploration of collateral data potentially applicable to Great Lakes hydrography and fisheries. Charles F. Powers, David L. Jones, Paul C. Mundinger, John C. Ayers.","Great Lakes Research Institute, University of Michigan, 1959.",pd,,,1959,1959,
1,61767,000577749,mdp,N-person game theory; concepts and applications.,University of Michigan Press [1970],ic,,,1970,1970,
1,28703193,002703383,mdp,Automatic factory opportunities in Michigan.,"Industrial Development Division, Institute of Science and Technology, The University of Michigan, 1981-",ic,,,1982,1982,
1,28287611,002639028,mdp,The dialectics of decolonization : nationalism and labor movements in postwar Africa / Fred Cooper.,"University of Michigan, [1992]",ic,,,1992,1992,
1,42677273,.b29063693,uc1,"Trade structure, economic development and international transactions in services / by Bernard M. Hoekman and Guy Karsenty","Research Seminar in International Economics, Dept. of Economics, University of Michigan, [1991]",ic,,,1991,1991,
1,18907135,001297806,mdp,"An annotated critical bibliography of Thomas Hardy / Ronald P. Draper, Martin S. Ray.","University of Michigan Press, 1989.",ic,,,1989,1989,
1,23323714,002067526,mdp,"Dentistry; the profession, educational requirements, nature of practice, opportunities offered.",The University of Michigan [1940],und,,,1940,1940,
1,318812,000004553,mdp,"Two studies in Chinese literature [by] Li Chi [and] Dale Johnson. [With an introd., commentary, notes and bibliography by Chang Chun-shu]","University of Michigan, Center for Chinese Studies, 1968.",ic,,,1968,1968,
1,8698986,000198502,mdp,"ISR list of publications, 1971-1981 / compiled by Adye Bel Evans.","Institute for Social Research, University of Michigan, 1981.",ic-world,,,1981,1981,
1,29638040,002876789,mdp,This book of starres : learning to read George Herbert / James Boyd White.,"University of Michigan Press, c1994.",ic,,,1994,1994,
1,2696142,001179155,mdp,"A bibliography of collective bargaining in hospitals and related facilities, 1969-1971 [by] William A. Rothman.","Institute of Labor and Industrial Relations, The University of Michigan--Wayne State University, 1972.",ic,,,1972,1972,
1,31046446,002977223,mdp,Divine escorts : Nereids in archaic and classical Greek art / Judith M. Barringer.,"University of Michigan Press, c1995.",ic,,,1995,1995,
1,66894654,000760264,mdp,"Adolescence, geteway to androgyny / Jacquelynne E. Parsons, James Bryan.","Women's Studies Program, University of Michigan, 1978.",ic,,,1978,1978,
2,52208515,003893834,mdp,"Plants of the Petén Itza' Maya = Plantas de los maya itza' del Petén / Scott Atran, Ximena Lois, Edilberto Ucan Ek'.","Museum of Anthropology, University of Michigan, 2004.",ic,,1,2004,2004,
1,10741999,004739098,miua,"Comparative studies of the zoobenthos of a natural and man-made rocky habitat on the eastern shore of Lake Michigan / Diane D. Lauritsen, David S. White.","University of Michigan, 1981.",ic,,,1981,1981,
1,43985799,004133430,mdp,Kuria cattle raiders : violence and vigilantism on the Tanzania/Kenya frontier / Michael L. Fleisher.,"University of Michigan Press, c2000.",ic-world,,,2000,2000,
31,1590562,.b171696384,uc1,Industrial relations law digest.,"Office of Publications, Graduate School of Business Administration, University of Michigan, -1978.",ic,1963-1978,5-20,1963,1978,
1,14414011,000629120,mdp,"20e siècle, la problématique du discours / edited by Roy Jay Nelson.","Dept. of Romance Languages, University of Michigan, c1986.",ic,,,1986,1986,
1,17614029,002052183,mdp,"Tools for the study and diagnosis of classroom learning atmospheres, by Robert Fox, Margaret Barron Luszki [and] Richard Schmuck.","Inter-Center Program of Research on Children, Youth, and Family Life, Institute for Social Research, University of Michigan, 1965.",ic-world,,,1965,1965,
1,23331455,001987259,mdp,"Recent developments in neutron transport theory. : Lectures presented at the Neutron Physics Conference, Mackinac Island, Michigan, June 12-17, 1961 / Notes taken and prepared by Fred C. Shure.","Michigan Memorial Phoenix Project, University of Michigan, 1962?]",und,,,1962,1962,
1,23324291,001502291,mdp,"Discovery of the breeding area of Kirtland's warbler,","University museum, University of Michigan [1904]",pd,,,1904,1904,
1,67904829,002066108,mdp,"Phonetic characteristics of dysarthria; final report, September 1, 1959-August 31, 1965.","University of Michigan, Dept. of Speech and Speech Clinic, 1965.",ic,,,1965,1965,
1,3923635,000174396,mdp,"Proceedings of Symposium on incipient caries of enamel : November 11-12, 1977, the University of Michigan School of Dentistry / edited by Nathaniel H. Rowe.","University of Michigan, [1977?].",ic,,,1977,1977,
1,34082011,003023291,mdp,The official athletic mouthguard clinic notebook / written by Amy DeYoung.,"University of Michigan, School of Dentistry, 1993?]",ic,,,1993,1993,
1,7697400,002194424,mdp,Investigations into ecological and sociological determinants of land-use decisions : a study of inland lake watersheds in northern Michigan / John E. Gannon and Mark W. Paddock ; in cooperation with project staff of the Northern Michigan Environmental Research Program.,"University of Michigan Biological Station, 1974, 1978 printing.",ic,,,1974,1974,
1,33878365,003013878,mdp,"The Humanistic Scholars Project : final report to the Council on Library Resources / [prepared by Linda Parker, Wendy Lougee and Mark Sandler].","Harlan Hatcher Graduate Library, The University of Michigan, [1986]",ic,,,1986,1986,
1,43333537,004106760,mdp,"Coping with poverty : the social contexts of neighborhood, work, and family in the African-American community / edited by Sheldon Danziger and Ann Chih Lin.","University of Michigan Press, c2000.",ic and ic-world,,,2000,2000,
1,6997328,000636571,mdp,Spring-autumn papers.,"The Center for Chinese Studies, The Center for Japanese Studies,The University of Michigan.",ic,,1,1980,1980,
1,266279,001136256,mdp,World communism; a history of the Communist International. New introd. by Raymond Aron.,University of Michigan Press [1962],und,,,1962,1962,
1,951848,001224728,mdp,Letters of Nikolai Gogol / selected and edited by Carl R. Proffer ; translated by Carl R. Proffer in collaboration with Vera Krivoshein.,University of Michigan Press [1967],ic,,,1967,1967,
1,27191866,002590419,mdp,"The effects of domestic tax/subsidies and import tariffs on the structure of protection in the United States, United Kingdom, and Japan / by Alan V. Deardorff and Robert M. Stern.","Institute of Public Policy Studies, University of Michigan, [1982]",ic,,,1982,1982,
1,36029649,003170598,mdp,"West Germany under construction : politics, society, and culture in the Adenauer era / Robert G. Moeller, editor.","University of Michigan Press, c1997.",ic,,,1997,1997,
1,3845578,000135782,mdp,Academic strategy : the determination and implementation of purpose at new graduate schools of administration / LaRue Tone Hosmer.,"Division of Research, Graduate School of Business Administration, the University of Michigan, c1978.",ic,,,1978,1978,
1,18721982,003547545,mdp,Teaching practices and achievement in penmanship in the public schools of Michigan / by Clifford Woody.,"School of Education, University of Michigan, [1938]",und,,,1938,1938,
1,144225947,005671359,mdp,"Deep : real life with spinal cord injury / Marcy Epstein and Travar Pettway, editors.","University of Michigan Press, 2007.",ic-world,,,2007,2007,
1,24680472,005084994,mdp,How languages work / : Waldo E. Sweet.,"University of Michigan], c1953.",und,,,1953,1953,
1,24108831,002478814,mdp,"Mobilizing interest groups in America : patrons, professions, and social movements / Jack L. Walker, Jr. ; prepared for publication by Joel D. Aberbach ... [et al.].","University of Michigan Press, c1991.",ic,,,1991,1991,
1,41542753,004025188,mdp,"Growth modification : what works, what doesn't, and why / volume editor, James A. McNamara.","Center for Human Growth and Development, The University of Michigan, c1999.",ic,,,1999,1999,
1,66269761,000333459,mdp,Information manual on animal use.,"Unit for Laboratory Animal Medicine, University of Michigan, [1980?]",ic,,,1980,1980,
1,52586952,004323876,mdp,Testing your grammar / Susan M. Reinhart.,"University of Michigan Press, c2002.",ic,,,2002,2002,
2,23344895,000718898,mdp,Staff development for supervisors.,"University of Michigan School of Social Work, Continuing Education Program in the Human Services, 1977.",ic and und,,1-2,1977,1977,
1,45841636,.b42508113,uc1,Taking trade to the streets : the lost history of public efforts to shape globalization / Susan Ariel Aaronson ; with forewords by Pat Choate and I.M. Destler,"University of Michigan Press, [2001?]",ic and ic-world,,,2001,2001,
1,3769109,000133306,mdp,"Understanding the fiscal impact of general revenue-sharing / [prepared for Research Applied to National Needs, (RANN), National Science Foundation, contract no. APR75-03321] ; project staff, Thomas J. Anton ... [et al.].","Institute of Public Policy Studies, University of Michigan, 1975.",ic,,,1975,1975,
1,17597759,000962376,mdp,"Washtenaw County, Michigan, labor market: characteristics, forecast, and problems","University of Michigan, Office of Research Administration] 1964.",ic,,,1964,1964,
1,30841906,002446953,mdp,"Macroinvertebrate bottom fauna of the Gambia River, West Africa / by Marion J. Van Maren.","Great Lakes and Marine Waters Center, University of Michigan, 1985.",ic,,,1985,1985,
1,262422768,005860445,mdp,University of Michigan's Joint Interdisciplinary Doctoral Program in Social Work and Social Science : a history / Phillip Fellin.,"University of Michigan School of Social Work, 2007.",ic-world,,,2007,2007,
1,28722937,002801995,mdp,O'Neill's Shakespeare / Normand Berlin.,"University of Michigan Press, c1993.",ic,,,1994,1994,
1,43255304,003441098,mdp,"Rebuilding the university, 1986-1996 : the University of Michigan.","University of Michigan, 1996?]",ic-world,,,1996,1996,
1,657778,001060760,mdp,Mikhail Sholokhov; a critical introduction [by] D. H. Stewart.,"University of Michigan Press, [1967]",ic,,,1967,1967,
2,244037396,002488362,mdp,Geometric modeling.,"University of Michigan, College of Engineering,",ic,,,1981,1981,
1,33826567,003112056,mdp,"Narrative, violence, and the law : the essays of Robert Cover / edited by Martha Minow, Michael Ryan, and Austin Sarat.","University of Michigan Press, 1995, c1993.",ic,,,1993,1993,
1,264255,004426129,mdp,"The finances of metropolitan areas, by Larry M. Elison.","University of Michigan Law School, 1964.",ic,,,1964,1964,
1,57530010,.b24649260,uc1,"The train that had wings : selected short stories of M. Mukundan / M. Mukundan ; translated from the Malayalam by Donald R. Davis, Jr.","Center for South & Southeast Asian Studies, University of Michigan, 2005",ic,,,2005,2005,
1,318435845,a909742,pst,Luxury and capitalism. / Introd. by Philip Siegelman. [Translated by W. R. Dittmar].,"University of Michigan Press, [1967].",ic,,,1967,1967,
1,22308226,002238662,mdp,Feminist theories for dramatic criticism / Gayle Austin.,"University of Michigan Press, c1990.",ic,,,1990,1990,
1,484054,001464876,mdp,Baroque times in old Mexico;,University of Michigan Press [1959],ic,,,1959,1959,
1,25025720,002559496,mdp,Women and reason / edited by Elizabeth D. Harvey and Kathleen Okruhlik.,"University of Michigan Press, c1992.",ic,,,1992,1992,
1,2109131,000709360,mdp,The silk industry in Ch'ing China / by Shih Min-hsiung ; translated by E-tu Zen Sun.,"Center for Chinese Studies, The University of Michigan, 1976.",und,,,1976,1976,
1,332359,.b11711371,uc1,Studies in Japanese history and politics. Edited by Richard K. Beardsley.,"University of Michigan Press, 1967.",ic,,,1967,1967,
1,37459601,003171152,mdp,Taking sides : a speaking text for advanced and intermediate students / Kevin B. King.,"University of Michigan Press, c1997.",ic,,,1997,1997,
1,386888,001594418,mdp,The Puritan mind.,"University of Michigan Press, [1958]",ic,,,1958,1958,
1,44542340,004120536,mdp,"The article book : practice toward mastering a, an, and the / Tom Cole.","University of Michigan Press, c2000.",ic,,,2000,2000,
1,310398752,005963561,mdp,"Abstracts and the writing of abstracts / John M. Swales, Christine B. Feak.","University of Michigan Press, c2009.",ic,,,2009,2009,
1,2977601,004738443,miua,Preoperational investigations of zoobenthos in southeastern Lake Michigan near the Cook nuclear plant / S.C. Mozley.,"Great Lakes Research Division, University of Michigan, 1975.",ic,,,1975,1975,
1,68800554,003979785,mdp,"A stress scheme for evaluating labile hypertension : a pilot study / Thomas E. Bittker, J.C. Pollard.","University of Michigan, Mental Health Research Institute], 1965.",ic,,,1965,1965,
1,3750720,223392,inu,"Dionda erimyzonops, a new, dwarf cyprinid fish inhabiting the Gulf Coastal Plain of Mexico / by Carl L. Hubbs and Robert Rush Miller.","Museum of Zoology, University of Michigan],  1974.",ic,,,1974,1974,
1,23308477,002027822,mdp,"Report on the possible effects on the surrounding population of an assumed release of fission products into the atmosphere from a 300 megawatt nuclear reactor located at Lagoona Beach, Michigan; final report [by] Henry J. Gomberg, project director, Thomas Bassett [and] Carlos Velez. Project 2506 [for the] Atomic Power Development Associates, inc., Detroit, Michigan.","Engineering Research Institute, University of Michigan, 1957.",pd,,,1957,1957,
1,41612466,003503083,mdp,Choice-free rationality : a positive theory of political behavior / Robert Grafstein.,"University of Michigan Press, c1999.",ic-world,,,1999,1999,
1,38053228,001954661,mdp,"Diagnostic oral pathology : an aid to the clinical diagnosis of oral disease / Joseph A. Regezi, Richard M. Courtney.","school of Dentistry, University of Michigan, c1980.",ic,,,1980,1980,
1,181142760,005646196,mdp,"Owning the Olympics : narratives of the new China / Monroe E. Price and Daniel Dayan, editors.","University of Michigan Press : University of Michigan Library, c2008.",ic,,,2008,2008,
1,185584,001117574,mdp,Public concepts of the values and costs of higher education [by] Angus Campbell [and] William C. Eckerman.,"Survey Research Center, Institute for Social Research, University of Michigan [c1964]",ic-world,,,1964,1964,
1,12687861,001885521,mdp,"Research Conference on Social Science Methods and Student Residences. Project directors: Harlan L. Lane [and] John H. Taylor. Cooperative research project no. F-031, Contract OE 4-10-149.","Center for Research on Language and Language Behavior, University of Michigan, 1965.",ic,,,1965,1965,
1,42309298,003483982,mdp,From expectation to experience : essays on law and legal education / James Boyd White.,"University of Michigan Press, c1999.",ic-world,,,1999,1999,
1,42866116,004125243,mdp,"Public health in the market : facing managed care, lean government, and health disparities / Nancy Milio.","University of Michigan Press, c2000.",ic-world,,,2000,2000,
1,2175804,001116717,mdp,"The appraisal of teaching in large universities, a report...","University of Michigan, 1959.",und,,,1959,1959,
1,42309291,003512157,mdp,The woman who knew too much : Alice Stewart and the secrets of radiation / Gayle Greene ; foreword by Helen Caldicott.,"University of Michigan Press, c1999.",ic and ic-world,,,1999,1999,
2,10375256,.b10588632,uc1,Japanese history : a guide to survey histories = [Nihon shi bunken kaidai] / edited by Naomi Fukuda.,"Center for Japanese Studies, University of Michigan, 1984-1986.",ic,,1-2,1986,1986,
1,1502029,1080489,coo,Public issues and practical problems in labor and industrial relations; [proceedings.,"Institute of Labor and Industrial Relations, University of Michigan and Wayne State University, 1958]",und,,,1958,1958,
1,55727939,004728896,mdp,Great debates : language and culture skills for ESL students / Meredith Westfall and John McCarthy ; illustrations by Renee McCauley.,"University of Michigan Press, c2004.",ic,,,2004,2004,
1,216323,000003164,mdp,Collective bargaining by national employees in the United Kingdom.,"Institute of Labor and Industrial Relations, University of Michigan-Wayne State University, 1971.",ic,,,1971,1971,
1,28278878,002638964,mdp,The end to Soviet-type society and the future of post-communism / Michael D. Kennedy.,"University of Michigan, [1991]",ic,,,1991,1991,
1,7377714,321227,coo,"State enabling legislation for non-profit hospital and medical plans, 1944.","School of Public Health, University of Michigan [1944]",pd,,,1944,1944,
1,1347011,.b120486544,uc1,Man's place in nature. Introd. by Ashley Montagu.,University of Michigan Press [1959],ic,,,1959,1959,
1,local (non-oclc): 005336435,005336435,mdp,Trans-Pacific cooperation : a challenge in the 1990's / Amnuay Viravan.,"School of Business Administration, the University of Michigan, c1993.",ic,,,1993,1993,
1,34789971,003098139,mdp,"Win, lose, or draw : domestic politics and the crucible of war / Allan C. Stam III.","University of Michigan Press, c1996.",ic,,,1996,1996,
1,23048437,002453558,mdp,Travelers to an antique land : the history and literature of travel to Greece / Robert Eisner.,"University of Michigan Press, c1991.",ic,,,1991,1991,
1,40901182,.b20481378,uc1,Responsive reading / Edward Hirsch,"University of Michigan Press, c1999",ic,,,1999,1999,
1,32303069,.b33696342,uc1,Exchange rate forecasts with the Michigan Quarterly Econometric Model of the U.S. economy / E. Philip Howrey,"Institute of Public Policy Studies, University of Michigan, [1993]",ic,,,1993,1993,
1,50930149,003795628,mdp,"NA522 : experimental marine engineering, Spring 2001. lab leaders, Sophie Ancel, Miltiadis Kotinis, João Paulo Matsuura.","[University of Michigan?, 2001]",ic,,,2001,2001,
1,51607439,004342683,mdp,Paradigms and sand castles : theory building and research design in comparative politics / Barbara Geddes.,"University of Michigan Press, c2003.",ic-world,,,2003,2003,
1,481981,001436505,mdp,Studies in verbal art. Texts in Czech and Slovak. -,"Dept. of Slavic Languages and Literature, University of Michigan, 1971.",ic,,,1971,1971,
1,27367335,002597699,mdp,"Sexual affronts and racial frontiers : national identity, 'mixed bloods' and the cultural genealogies of Europeans in colonial Southeast Asia / Ann Stoler.","University of Michigan,[1991]",ic,,,1991,1991,
1,355925,001775359,mdp,"Five miscellaneous essays. Edited, with an introd., by Samuel Holt Monk.",University of Michigan Press [1963],pd,,,1963,1963,
2,4095479,000508214,mdp,Research in the School of Dentistry.,"University of Michigan, School of Dentistry, 1976.",ic,,,1976,1976,
2,21070438,003271263,mdp,"Announcement, summer / Graduate Division, Northern Michigan College [in co-operation with the Horace H. Rackham School of Graduate Studies, University of Michigan].","University of Michigan, 1956-",ic,1956-1957,,1956,1957,
1,1892585,001683072,mdp,A revision of the Ecuadorian snakes of the colubrid genus Atractus.,"Museum of Zoology, University of Michigan, 1960.",und,,,1960,1960,
1,43790687,004133433,mdp,"Continuity and change on the United States Courts of Appeals / Donald R. Songer, Reginald S. Sheehan, and Susan B. Haire.","University of Michigan Press, c2000.",ic-world,,,2000,2000,
2,42347672,6433880,wu,Alumni reading lists prepared with the aid of members of the faculties of the University of Michigan.,"University of Michigan press, 1931-",und,,1,,,
1,41368353,003503075,mdp,A colored man round the world / David F. Dorr ; edited by Malini Johar Schueller.,"University of Michigan Press, c1999.",ic and ic-world,,,1999,1999,
1,52721022,.b23027046,uc1,Waltzing the magpies : a year in Australia / Sam Pickering,"University of Michigan Press, c2004",ic,,,2004,2004,
1,174787,.b13370959,uc1,"The design of Federal antipoverty strategy, by Sar A. Levitan.","Institute of Labor and Industrial Relations, University of Michigan, 1967.",ic,,,1967,1967,
1,52240242,.b22995997,uc1,"Novel Japanese : spaces of nationhood in early Meiji narrative, 1870-88 / John Pierre Mertz","Center for Japanese Studies, the University of Michigan, 2003",ic,,,2003,2003,
1,37246837,.b19694787,uc1,Ovid's literary loves : influence and innovation in the Amores / Barbara Weiden Boyd,"University of Michigan Press, c1997",ic and ic-world,,,1997,1997,
1,46348015,000412405,mdp,The art of seals : aesthetic and social dynamics of the impressed image from antiquity to the present.,"Kelsey Museum of Archaeology, The University of Michigan, 1984.",ic,,,1984,1984,
1,41482193,.b20837653,uc1,When the rainbow goddess wept / Cecilia Manguerra Brainard,"University of Michigan Press, 1999",ic,,,1999,1999,
1,1637286,001172460,mdp,Guide to the manuscript maps in the William L. Clements Library / Compiled by Christian Brun map and print librarian.,"University of Michigan, 1959.",pd,,,1959,1959,
1,71300319,006838068,mdp,Understanding cultural narratives : exploring identity and the multicultural experience / Linda Watkins-Goffman.,"University of Michigan Press, c2006.",ic,,,2006,2006,
1,local (non-oclc): 005304015,005304015,mdp,"Marketing under war conditions : proceedings of the mid-year convention of the American Marketing Association, Ann Arbor, June 12 and 13, 1942 / Edgar H. Gault, editor.","University of Michigan, School of Business Administration, Bureau of Business Research, 1942.",und,,,1942,1942,
1,28304629,002641255,mdp,Foucault on power-- : politics from behind-- societies on the diagonal / Keith Nield.,"University of Michigan, [1992]",ic,,,1992,1992,
1,18412358,001075926,mdp,Economics and elections : the major western democracies / Michael S. Lewis-Beck.,"University of Michigan Press, c1988.",ic,,,1988,1988,
1,1864740,001313765,mdp,"Consumer expectations, 1953-1956, by George Katona and Eva Mueller.","Survey Research Center, Institute for Social Research, University of Michigan [1956?]",pd and ic-world,,,1956,1956,
1,288787,000536788,mdp,Poems.,University of Michigan Press [1957],und,,,1957,1957,
1,31012019,002987264,mdp,Subversive heroines : feminist resolutions of social crisis in the condition-of-England novel / Constance D. Harsh.,"University of Michigan Press, c1994.",ic,,,1994,1994,
1,2727777,000171596,mdp,"An introduction to anesthesia / authors, Lyle F. Aseltine, Laura Trombley, Joseph B. Silvian.","School of Dentistry, University of Michigan, 1975.",ic,,,1975,1975,
1,3059142,004552362,mdp,"A method of isolating sinusoidal components in economic time series,","University of Michigan, School of business administration, Bureau of business research, 1938.",pd,,,1938,1938,
1,8872921,223649,inu,"Mammals of Dinagat and Siargao islands, Philippines / by Lawrence R. Heaney and Dioscoro S. Rabor.","Museum of Zoology, University of Michigan, [1982]",ic,,,1982,1982,
1,1665357,001022123,mdp,On Dryden's Essay of dramatic poesy.,"University of Michigan Press, 1951.",ic,,,1951,1951,
1,49681430,004283655,mdp,Millennial reflections on international studies / edited by Michael Brecher and Frank P. Harvey.,"University of Michigan Press, c2002.",ic-world,,,2002,2002,
1,43311781,003503180,mdp,Political complexity : nonlinear models of politics / edited by Diana Richards.,"University of Michigan Press, c2000.",ic and ic-world,,,2000,2000,
1,25405464,002513281,mdp,"Social work policy and practice : a knowledge-driven approach / Harold R. Johnson and John E. Tropman, editors.","University of Michigan School of Social Work, 1986.",ic,,,1986,1986,
1,254481351,b169358744,uc1,The march up country; a translation of Xenophon's Anabasis [by] W.H.D. Rouse. [1st American ed.],University of Michigan Press [1958],ic,,,1958,1958,
1,25246906,002579706,mdp,In the voice of others : Chinese Music Bureau poetry / Joseph R. Allen.,"Center for Chinese Studies, University of Michigan, c1992.",ic,,,1992,1992,
1,50227803,004371258,mdp,"The Dianshizhai pictorial : Shanghai urban life, 1884-1898 / Ye Xiaoqing.","Center for Chinese Studies, the University of Michigan, c2003.",ic,,,2003,2003,
1,216815,000470062,mdp,"Searching for structure (alias-AID-III); an approach to analysis of substantial bodies of micro-data and documentation for a computer program (successor to the Automatic Interaction Detector Program), by John A. Sonquist, Elizabeth Lauh Baker [and] James N. Morgan.","Institute for Social Research, University of Michigan [1971]",ic-world,,,1971,1971,
