Brotherhood of Railroad Trainmen.,United Transportation Union,http://id.loc.gov/authorities/names/n79131120
Buick Motor Company.,General Motors Corporation. Buick Motor Division,http://id.loc.gov/authorities/names/n81098857
Burlington University.,Vermont Agricultural Experiment Station,http://id.loc.gov/authorities/names/n80090562
CBS News.,"Columbia Broadcasting System, inc.",http://id.loc.gov/authorities/names/n80126230
Calumet and Hecla Mining Company.,Calumet and Hecla Consolidated Copper Company,http://id.loc.gov/authorities/names/n88023028
Campus Action.,Independent Student Union (U.S.),http://id.loc.gov/authorities/names/n90706968
Canton Christian College.,"Ling nan da xue (Guangzhou, China)",http://id.loc.gov/authorities/names/n82125060
"Casa de Unidad (Detroit, Mich.)","Cultural Arts and Media Center (Casa de Unidad (Detroit, Mich.))",http://id.loc.gov/authorities/names/n96002999
Catholic Church.,Franciscans,http://id.loc.gov/authorities/names/n79015671
Center for Research on Social Organization.,Johns Hopkins University. Center for Research on Elementary and Middle Schools,http://id.loc.gov/authorities/names/no90012393
Central Pacific Railway Company.,Southern Pacific Company,http://id.loc.gov/authorities/names/n79079411
Charles Wood Associates.,Charles Wood & Co.,http://id.loc.gov/authorities/names/n2012029685
Chelsea Methodist Home.,Wesley Hall (Chelsea United Methodist Retirement Home),http://id.loc.gov/authorities/names/n87863851
Chesapeake and Ohio Railway Company.,Baltimore and Ohio Railroad Company,http://id.loc.gov/authorities/names/n79085090
Chi Gamma Phi.,Chi Phi (Fraternity). Gamma Chapter (Emory University),http://id.loc.gov/authorities/names/no2012117205
Chicago River and Indiana Railroad Company.,ConRail,http://id.loc.gov/authorities/names/n80061803
"Chicago, Cincinnati and Louisville Railroad Company.","New York, Chicago & St. Louis Railroad",http://id.loc.gov/authorities/names/nr91041182
"Chicago, Milwaukee, St. Paul and Pacific Railroad Company.","Chicago, Milwaukee, and St. Paul Railway Company",http://id.loc.gov/authorities/names/n80113938
Child Study Association of America. Children's Book Committee.,Child Study Children's Book Committee at Bank Street,http://id.loc.gov/authorities/names/n80037458
"Christ Church (Detroit, Mich.)","Apostolic Church of God in Christ Jesus (Detroit, Mich.)",http://id.loc.gov/authorities/names/n84011814
"Christ Lutheran Church (Detroit, Mich.)","Iroquois Avenue Christ Evangelical Lutheran Church (Detroit, Mich.)",http://id.loc.gov/authorities/names/no2002024585
Christian Amendment Movement.,Christian Government Movement,http://id.loc.gov/authorities/names/no94024395
