"Abbitt, W. H"
"McCalmont, Samuel P. (Samuel Plumer), 1823-1904"
"McCarthy, Eugene J., 1916-"
"McCarthy, Eugene J., 1916-2005"
"McCarthy, Eugene, 1916-2005"
"McCarthy, J. P. (Joseph Priestly), 1933-1995"
"McCarthy, Joseph, 1908-1957"
"McCarthy, Joseph, 1908-1957--Influence"
"McCarthy, Mary Fitt"
"McCarthy, Thomas J"
"McCartner, W. C"
"McCarus, Ernest N. (Ernest Nasseph), 1922-"
"McCauley, Dorothy"
"McClanahan, Jack"
"McClanahan, Meade"
"McCleer, Terrence"
"McClellan, George Brinton, 1826-1885"
"McClellan, John Little, 1896-"
"McClelland, Robert, 1807-1880"
"McCloy, Charles H. (Charles Harold), 1886-1959"
"McCloy, John Jay, 1895-"
"McClure, Grace, 1884-"
"McClure, Harry H"
"McClure, Roy Donaldson, 1882-1951"
"McClure, William C., 1842-1904"
"McClusky, Howard Y. (Howard Yale), 1900-1982"
"McCollough, Lucille H"
"McCollough, Patrick H"
"McCollum, Walter"
"McCord, Carey Pratt, 1886-"
"McCormack, John W., 1891-"
"McCormack, John W., 1891-1980"
"McCormick, Anne O'Hare"
"McCormick, John Newton, 1863-1939"
"McCoskry, Samuel Allen, 1804-1886"
"McCoy, Isaac, 1784-1846"
"McCoy, Robbie, Mrs"
"McCracken, Elizabeth"
"McCracken, Marian, 1920-"
"McCracken, Paul Winston, 1915-"
"McCrea, Archie Elbert, 1880-"
"McCree, Dores"
"McCree, Wade H. (Wade Hampton), 1920-1987"
"McCreery, Fenton R. (Fenton Reuben), 1866-1940"
"McCreery, William B. (William Barker), 1836-1896"
"McCurdy, Allan"
"McCurry, John C"
"McDaniel, John K., 1902-"
"McDonald, Christine Jewell"
"McDonald, Harry A., 1894-1964"
"McDonald, James Henry, 1853-1934"
"McDonald, John Samuel, 1865-"
"McDowell, C. S"
"McDowell, Robert H"
"McElrath, Ah Quon, 1915-"
"McElroy, Neil H., 1904-"
"McEvoy, Joseph P"
"McFarlan, James H. (James Hoyt)"
"McFarland, Ernest William, 1894-"
"McGaffey, Neal"
"McGee, Gale W. (Gale William), 1915-1992"
"McGill, Charles William, 1865-"
"McGill, Eula"
"McGill, Forrest, 1947-"
"McGill, John, 1906-"
"McGinley, Conde, d. 1963"
"McGorrill, Milton S"
"McGovern, George S. (George Stanley), 1922-"
"McGrath, James Howard, 1903-"
"McGrath, John W., b. 1837"
"McGrath, Tom J"
"McGraw, Harold Whittlesey, 1918-"
"McGregor, Tracy William, 1869-1936"
"McGuffey, William Holmes, 1800-1873"
"McGuigan, Dorothy Gies"
"McGuire, Matthew F., 1921-"
"McHugh, Philip"
"McIlvaine, Charles, 1840-1909"
"McInally, William Keith, 1905-1964"
"McIntire, Carl, 1906-"
"McIntire, Carl, 1906-2002"
"McIntire, Sam, 1915-1988"
"McIntyre, Donald, 1807-1891"
"McIntyre, Frank, 1865-1944"
"McIntyre, Thomas J., 1915-"
"McKay, Frank D., 1883-"
"McKay, Frank, 1883-1965"
"McKeachie, Wilbert James, 1921"
"McKeithen, John Julian, 1918-"
"McKellar, Kenneth Douglas, 1869-1957"
"McKenzie, Roderick Duncan, 1885-1940"
"McKenzie, Walter I. (Walter Ingles), 1888-1962"
"McKenzie, William Dexter, 1873-1960"
"McKim, Charles Follen, 1847-1909"
"McKinley, Earl Baldwin, 1894-1938"
"McKinley, William, 1843-1901"
"McKinney, Frank Edward, 1904-1974"
"McKinney, John, 1803-1870"
"McKinstry, James P"
"McKnight, Thomas"
"McLaren, Walter Wallace"
"McLaughlin, Andrew Cunningham, 1861-1947"
"McLaughlin, Dean B. (Dean Benjamin), 1901-1965"
"McLaughlin, James Campbell, 1858-1932"
"McLaughlin, Lois T. (Lois Thompson)"
"McLaughlin, William F., 1932-"
"McLellan, Martha Wells"
"McLellan, Richard D"
"McLeod, Clarence John, 1895-1959"
"McLouth, Lawrence Amos, 1863-1927"
"McLuhan, Marshall, 1911-"
"McMahon, Brien, 1903-1952"
"McMahon, Henry O"
"McMahon, Juliet"
"McMahon, Susan"
"McMath, Francis Charles, 1867-1938"
"McMath, John Watson, b. 1824"
"McMath, Robert R. (Robert Raynolds), 1891-1962"
"McMenamy, Patrick Vincent, 1894-1965"
"McMillan, James, 1838-1902"
"McMurry, Kenneth Charles"
"McMurtrie, Douglas C. (Douglas Crawford), 1888-1944"
"McNally, James Wallace, 1911-"
"McNamara, Edward H"
"McNamara, Pat, 1894-1966"
"McNamara, Patrick Vincent, 1894-1966"
"McNamara, Robert S., 1916-"
"McNamee, Robert, 1894-"
"McNamee, Ruth Braden, 1921-"
"McNeely, James, 1930-"
"McNitt, H. Earl, 1888-1944"
"McNitt, William H"
"McNutt, Paul Vories, 1891-1951"
"McNutt, Paul Vories, 1891-1955"
"McOmber, Pearl"
"McPeek, Russell Roy, 1862-1945"
"McPhail, Hugh D"
"McPherson, Hugh Alexander, 1864-1965"
"McReynolds, James C"
"McVaugh, Rogers, 1909-"
Mead family
"Mead, Edwin Doak, 1849-1937"
"Mead, George Herbert, 1863-1931"
"Mead, Harry H"
"Mead, Harry L., 1893-"
"Mead, Kathleen"
"Mead, Lucia True Ames, 1856-1936"
"Mead, Margaret, 1901-"
"Mead, Margaret, 1901-1978"
"Meade, George Gordon, 1815-1872"
"Meader, George, 1907-"
"Meagher, John Patrick, 1922-"
"Meally, John Edward, 1864-"
"Means, David MacGregor, 1847-1931"
"Means, Russell, 1939-2012"
"Meany, Edmond S. (Edmond Stephen), 1862-1935"
"Meany, George, 1894-"
"Meany, George, 1894-1980"
"Mears, Charles B., 1814-1895"
"Mecham, Floyd R. (Floyd Russell), 1858-1928"
"Mechem, Edwin Leard, 1912-"
"Mechem, Floyd R. (Floyd Russell), 1858-1928"
"Meddaugh, Elijah Wood, 1833-1903"
Medicine--Research--Michigan
"Medico, P"
"Meek, Fielding Bradford, 1817-1876"
"Meeks, Howard S"
"Meeropol, Robert"
"Meerse, Marvin M., 1910-1978"
"Meier, Joy"
"Meiklejohn, Alexander, 1872-1964"
"Meinel, Aden B"
"Meir, Golda, 1898-1978"
"Meitner, Lise, 1878-1968"
"Melchers, Corinne"
"Melchers, Gari, 1860-1932"
"Mellen, James G"
"Mellon, Andrew W. (Andrew William), 1855-1939"
"Mencken, H. L. (Henry Louis), 1880-1956"
"Mendel, Lafayette B. (Lafayette Benedict), 1872-1935"
"Mendelsohn, Erich, 1887-1953"
"Mendelssohn-Bartholdy, Felix, 1809-1847"
"Menefee, Ferdinand Northrup, 1886-"
"Menken, S. Stanwood, 1870-"
"Menninger, Karl A. (Karl Augustus), 1893-1990"
"Menuhin, Yehudi, 1916-"
"Menzel, Donald Howard, 1901-"
"Menzies, Robert Gordon, Sir, 1894-1978"
"Mercati, Giovanni, 1866-1957"
"Mercer, William, b. 1824"
"Merchant, Livingston Tallmadge, 1903-"
"Meredith, James, 1933-"
"Merillat, H. C. L. (Herbert Christian Laing), 1915-"
"Merrelli, George, 1911-"
"Merriam, C. Hart (Clinton Hart), 1855-1942"
"Merriam, Charles Edward, 1874-1953"
"Merriam, Helen Bell, d. 1984"
"Merriam, Julia Bemis Sturtevant, 1874-1941"
"Merriam, Warren Sturtevant, 1901-1972"
"Merrill, Barbara, 1934-"
"Merrill, D. Bailey, 1912-"
"Merrill, Edith"
"Merrill, Elmer D. (Elmer Drew), 1876-1956"
"Merrill, George Washington, 1856-1937"
"Merrill, Howard E"
"Merrill, Paul W. (Paul Willard), 1887-1961"
"Merrill, Russell J"
"Merriman, Roger Bigelow, 1876-1945"
"Merritt, D. H"
"Merritt, Walle Williard, 1884-1968"
"Merry, Ellis B., 1907-1989"
"Mershon, Elsie"
"Mershon, William Briggs"
"Mershon, William Butts, 1856-1943"
"Mershon, Wm. B. (William Butts), 1856-1943"
"Merton, Robert King, 1910-"
"Mertz, David Franklin, d. 1900"
"Messer, Henry"
"Messiaen, Olivier, 1908-"
"Mesta, Perle"
"Meston, E"
"Metcalf, Elinor Gregory"
"Metcalf, Robert Clarence, 1923-"
"Metcalf, Woodbridge, 1888-"
"Meyer, Adolf, 1866-1950"
"Meyer, Adolph, 1866-1950"
"Meyer, Alfred G"
"Meyer, C. J. L"
"Meyer, Eugene, 1875-1959"
"Meyer, Henry Joseph, 1913-"
"Meyer, Suzanne M"
"Meyerbeer, Giacomo, 1791-1864"
"Meyers, Allen H., 1908-1976"
"Meyers, Edward H"
"Meyers, Gladys"
"Meyers, William J. (William John), 1869-"
"Mezzano, Louis"
"Michelf, Rodolfo"
"Michener, Daniel Roland, 1900-"
"Michener, Earl C. (Earl Cory), 1876-1957"
"Michener, Lewis H., 1908-"
"Mielke, William R"
"Mies van der Rohe, Ludwig 1886-1969"
"Milan, Carl Hastings, 1884-1963"
"Miles, Mary A., d. 1904"
"Miles, Tom"
"Miley, Paul E., 1907-"
"Milio, Nancy"
"Mill, Edward W. (Edward William), 1916-1977"
"Millar, Charles Ernest, 1885-"
"Millard, Dorothy McCorkell"
"Millard, Frank A"
"Millard, Frank G. (Frank Gurnee), 1897-1976"
"Millay, Edna St. Vincent, 1892-1950"
"Millen, George W., b. 1863"
"Miller, Art"
"Miller, Arthur"
"Miller, Arthur Lewis, 1892-1967"
"Miller, Arthur, 1915-"
"Miller, Arthur, 1915-2005"
"Miller, Clement F., b. 1830"
"Miller, Clyde R., 1888-"
"Miller, Ed"
"Miller, Edwin Lillie, 1868-1934"
"Miller, Floyd Josiah, 1886-1954"
"Miller, Frank White"
"Miller, Frederick L"
"Miller, Freeman D. (Freeman Devold), 1909-"
"Miller, George"
"Miller, Guy Alonzo, 1875-"
"Miller, James Grier"
"Miller, Janette, 1879-1969"
"Miller, John Barnes, 1869-1932"
"Miller, Norman F"
"Miller, Norman Fritz, 1894-"
"Miller, Samuel Freeman, 1816-1890"
"Miller, Sidney Trowbridge, 1864-1940"
"Miller, Warren E. (Warren Edward), 1924-"
"Miller, William Edward, 1914-"
"Millikan, Robert Andrews, 1868-1953"
"Milliken, Helen (Helen Wallbank)"
"Milliken, Helen W. (Helen Wallbank)"
"Milliken, Helen, 1922-"
"Milliken, John"
"Milliken, William G., 1922-"
"Millikin, Eugene Donald, 1891-1958"
"Millin, Leslie"
"Mills, Albert Leopold, 1854-1916"
"Mills, Benjamin Fay, 1857-1916"
"Mills, C. Wright (Charles Wright), 1916-1962"
"Mills, Harriet C"
"Mills, Julia H"
"Mills, Stephen, b. 1809"
"Mills, Wilbur Daigh, 1909-"
"Mills, Wilson W., 1888-"
"Millspaugh, Arthur Chester, 1883-1955"
"Millöcker, Carl, 1842-1899"
Mineralogy
"Minges, Abram, 1818-1908"
"Mink, Patsy T., 1927-"
"Minkoff, Lynn"
"Minor, Donald Ellis"
"Minton, Sherman"
"Miriani, Louis C"
"Mitchell, Elmer Dayton, 1889-"
"Mitchell, George J. (George John), 1933-"
"Mitchell, Hugh Chester, 1877-1956"
"Mitchell, James Paul, 1900-1964"
"Mitchell, Richard P. (Richard Paul), 1925-"
"Mitchell, Robert"
"Mitchell, Samuel Phillips, b. 1864"
"Mitchell, Stephen Arnold, 1903-"
"Mitchell, William D. (William De Witt), b. 1874"
"Mitchell, William, 1879-1936"
"Mitchner, Charles H"
"Mizner, Henry R"
"Moehlman, Arthur B. (Arthur Bernard), 1889-1952"
"Moehlman, Conrad Henry, b. 1879"
"Moessner, Victoria Joan"
"Moffatt, James, 1870-1944"
"Moffit, John Ted, 1862-1947"
"Mohler, Orren, 1908-"
"Mohr, Carl Frank"
"Molesworth, Jack E"
"Moley, Raymond L., 1886-"
"Moley, Raymond, 1886-1975"
"Monaghan, Tom, 1937-"
"Moncrieff, Frederick E"
"Mondale, Joan Adams, 1930-"
"Mondale, Walter F., 1928-"
"Monroe, Paul, 1869-1947"
"Monroney, Mike, 1902-"
"Montagu, Ashley, 1905-"
"Montagu, Ashley, 1905-1999"
"Montague, Gilbert H"
"Monteith, Abigail Harris, b. 1801"
"Monteith, Alexander"
"Monteith, Charles"
"Monteith, Edward H"
"Monteith, Edwin Harris"
"Monteith, George, b. 1840"
"Monteith, John, 1788-1868"
"Monteith, John, 1833-1918"
"Monteith, Sarah S"
"Montgomery, Andrew"
"Montgomery, George, 1916-"
"Montgomery, Jeffrey"
"Montgomery, Lawrence K"
"Montgomery, Patricia Clancy, 1934-"
"Montgomery, Robert M., 1849-1920"
"Montoya, Joseph Manuel, 1915-"
"Montrose, Joseph"
"Monts, Lester Parker"
"Moody, Arthur B"
"Moody, Blair, 1902-1954"
"Moody, Charles D"
"Moody, Christella D. Journey through South Africa. 1991"
"Moody, Christella D. Personal journey through South Africa. 1991"
"Moody, William Henry, 1853-1917"
"Moon, Charles H"
"Mooney, Edward, Abp., 1882-"
"Mooney, Edward, c Abp., 1882-"
"Mooney, Thomas J., 1882-1942"
"Moore, Andrew L., 1870-"
"Moore, Arthur Dearth, 1895-"
"Moore, Arthur J. (Arthur James), 1888-1974"
"Moore, B. T"
"Moore, Barrington, 1913-"
"Moore, Beverly"
"Moore, Charles, 1855-1942"
"Moore, Earl Vincent, 1890-1987"
"Moore, G. E. (George Edward), 1873-1958"
"Moore, George William, b. 1847"
"Moore, Grace, 1898-1947"
"Moore, Hugh, 1887-1972"
"Moore, James W"
"Moore, Joel Roscoe, 1879-"
"Moore, Joseph B., 1845-1930"
"Moore, Marianne, 1887-1972"
"Moore, Samuel"
"Moore, Samuel 1877-1934"
"Moore, Walden"
"Moore, William P., 1787-1850"
"Moorehead, Agnes, 1906-1974"
"More, Paul Elmer, 1864-1937"
"Morehouse, Henry L., 1834-1917"
"Morehouse, Henry Lyman, 1834-1917"
"Morey, Peter, 1798-1881"
"Morgan, Albert Talmon, 1841-1922"
"Morgan, Angela, 1874-1957"
"Morgan, Arthur Ernest, 1878-1975"
"Morgan, Charles"
"Morgan, Edmund Sears"
"Morgan, Elijah William, b. 1805"
"Morgan, Elisha"
"Morgan, G. Campbell (George Campbell), 1863-1945"
"Morgan, Gilbert"
"Morgan, James"
"Morgan, James N"
"Morgan, James N., 1918-"
"Morgan, John Tyler, 1824-1907"
"Morgan, Lewis Henry, 1818-1881"
"Morgan, Lucy Stow"
"Morgan, Polly Babcock"
"Morgan, Richard Guy, 1903-"
"Morgan, Robert O"
"Morgan, Sam"
"Morgan, Thomas Ellsworth, 1906-"
"Morgan, Thomas Hunt, 1866-1945"
"Morgenthau, Henry, 1856-1946"
"Morison, Samuel Eliot, 1887-1976"
"Morley, Felix, 1894-"
"Morley, George Bidwell, 1857-1935"
"Morley, George W"
"Morrill, James Lewis, 1891-"
"Morrill, Justin Smith, 1810-1898"
"Morris, George Sylvester, 1840-1889"
"Morris, Joan, 1943-"
"Morris, Ken, 1915-"
"Morris, Lloyd R., 1893-1954"
"Morris, Matilda"
"Morris, Robert"
"Morris, Robert, 1943-"
"Morris, Sam"
"Morris, Wright, 1910-1998"
"Morrison, Charles Clayton, 1874-"
"Morrison, Charles, 1782-1834"
"Morrison, William Angus, 1914-"
"Morrison, William Ralls, 1825-1909"
"Morrow, Dwight W. (Dwight Whitney), 1873-1931"
"Morrow, E. Frederic (Everett Frederic), 1909-"
"Morrow, James H"
"Morse, Allen Benton, 1839-1921"
"Morse, Dan F"
"Morse, John T. (John Torry), 1840-1937"
"Morse, Philip M. (Philip McCord), 1903-1985"
"Morse, Richard E., 1809-1865"
"Morse, Samuel Finley Breese, 1791-1872"
"Morse, Warner Jackson, 1872-1931"
"Morse, Wayne L. (Wayne Lyman), 1900-1974"
"Morse, Wayne Lyman, 1900-"
"Mortimer, Wyndham, 1884-1966"
"Morton, Rogers C., 1914-"
"Morton, Thruston B. (Thruston Ballard), 1907-1982"
"Moseley, Edward Augustus, 1846-1911"
"Moseley, George Van Horn, 1874-1960"
"Moses, George Higgins, 1869-1944"
"Mosher, Eliza Maria, 1846-1928"
"Mosher, Eliza, 1846-1928"
"Mosher, Gouverneur Frank, 1871-1941"
"Moss, Frank E., 1911-"
"Mote, Carl Henry, 1884-1946"
"Moton, Robert Russa, 1867-1940"
"Mott, Charles S., 1875-1973"
"Mott, Charles Stewart, 1875-1973"
"Mott, Ellen"
"Mott, Frank Luther, 1886-1964"
"Mott, John Raleigh, 1865-1955"
"Moulton, Vern, 1880-"
"Mount, Julia Lunt"
"Mouron, GÃ©rard A"
"Mowbray, Carol T"
"Mowrer, Edgar Ansel, 1892-"
"Moyers, Bill D"
"Moyers, Robert E., 1919-1996"
"Mozart, Wolfgang Amadeus, 1756-1791"
"Muddy Waters, 1915-1983"
"Mudge, James Maxwell, 1914-1970"
"Muehlig, Bertha E"
"Muehlig, Fay"
"Muehlig, Robert"
"Mueller, Eva, 1920-"
"Muffett, James S"
"Muhammad, Warith Deen, 1933-2008"
"Muir, Ramsay, 1872-1941"
"Muirhead, John Henry, 1855-1940"
"Mukle, Muy"
"Mulder, Arnold, 1885-1959"
"Muldoon, William"
"Mulhern, Daniel Granholm"
"Mullens, W. H"
"Muller, E. B"
"Muller, H. J. (Hermann Joseph), 1890-1967"
"Muller, Robert H"
"Muller, William"
"Muller,Carl, 1900-"
"Mullett, John W., 1825-1902"
"Mullett, John, 1786-1862"
"Mullins, Eustace Clarence, 1923-"
"Mullins, Raymond G., 1943-"
"Mumford, Lewis, 1895-"
"Mumford, Lewis, 1895-1990"
"Muncy, Levi"
"Muncy, Lydia B. (Lydia Baird)"
"Muncy, Ralph W. (Ralph Waldo), 1902-"
"Mundt, Karl Earl, 1900-"
"Munger, Edith Cushway, 1865-1945"
"Munger, Harvey, 1812-1862"
"Munger, Octavia"
"Munger, William L., 1845-1908"
"Munn, Clarence Lester, 1908-"
"Munn, Earle Harold, 1903-"
"Munn, Earle Harold, 1904-"
"Munn, John"
"Munro, William Bennett, 1875-1957"
"Munson, Gregory W"
"Munsterberg, Margarete Anna Adelheid, 1889-"
"Murchison, Carl Allanmore, 1887-"
"Murfin, James Orin, 1875-1940"
"Murphey, Rhoads, 1919-"
"Murphy, Barbara"
"Murphy, Frank, 1890-1949"
"Murphy, George, 1897-1961"
"Murphy, George, 1902-1992"
"Murphy, Irene Ellis, 1900-"
"Murphy, M. J"
"Murphy, Marguerite"
"Murphy, Mary Brennan, d. 1924"
"Murphy, Robert Daniel, 1894-"
"Murphy, Robert F., 1899-"
"Murphy, Sharon Ann"
"Murphy, William F"
"Murray, James E"
"Murray, John Clark, 1836-1917"
"Murray, Philip, 1886-1952"
"Murray, William Hansen"
"Murray, William Henry, 1869-1956"
"Murrg, F. M"
"Murrow, Edward R"
"Muschenheim, William"
"Muse, Clarence"
"Musgrave, Richard Abel, 1910-"
"Muskie, Edmund S., 1914-"
"Musselman, Amos S., b. 1851"
"Musselwhite, Harry Webster, 1868-1955"
"Musser, Benjamin Francis"
"Musser, Dan"
"Mussey, Henry Raymond, 1875-1940"
"Mussolini, Benito, 1883-1945"
"Muste, Abraham John, 1885-1967"
"Muónoz Marºin, Luis, 1898-"
"Myers, Albert Cook, 1874-1960"
"Mygatt, Tracy D. (Tracy Dickinson), 1885-1973"
"Myles, Cleo"
"Myrdal, Gunnar, 1898-1987"
"Münsterberg, Hugo, 1863-1916"
"Nabokov, Vladimir Vladimirovich, 1899-1977"
"Nabozny, Eddie Hoyt, 1917-1999"
"Nabozny, Helen, 1919-"
"Nader, Ralph"
"Nader, Ralph, 1934-"
"Nagal, A"
"Nash, Charles W., 1868-1944"
"Nash, Jay Bryan, 1886-1965"
"Nasser, Gamal Abdel, 1918-1970"
"Nast, Thomas, 1840-1902"
"Nathanson, Ben, 1915-"
"Navin, Thomas J"
"Neal, Arline, 1917-"
"Neal, Fannie, 1919-"
"Neal, Homer A"
"Nearing, Scott, 1883-"
"Nearing, Scott, 1883-1983"
"Nederlander, Robert E., 1933-"
"Nedzi, Lucien, 1925-"
"Neel, James V. (James Van Gundia), 1915-"
"Nehru, Jawaharlal, 1889-1964"
"Neiberg, Vicki"
"Neidhardt, Frederick C. (Frederick Carl), 1931-"
"Nelson, DeWitt, 1901-"
"Nelson, Donald Marr, 1888-1959"
"Nelson, J. Raleigh (Joseph Raleigh)"
"Nelson, Lyle Morgan, 1918-"
"Nelson, Wallace F"
"Nelson, Walter Morrow"
"Nernst, Walter, 1864-1941"
"Ness, Eliot, 1903-1957"
"Ness, Nina L"
"Nethercut, LaVerne Schmitkons, 1929-"
Netzorg family
"Netzorg, Katherine S"
"Netzorg, Morton Isadore"
"Netzorg, Morton J"
"Netzorg, Petra Fuld"
"Neubecker, Janice"
"Neubecker, Michael"
"Neuberger, Maurine Brown, 1907-"
"Nevills, Norman D., 1908-1949"
"Nevins, Allan, 1890-1971"
"Nevins, William S., b. 1829"
"Nevue, Wilfred, 1886"
"New, Harry S. (Harry Stewart), 1858-1937"
"Newberry, J. S. (John Strong), 1822-1892"
"Newberry, John Stoughton, 1826-1887"
"Newberry, Robert E"
"Newberry, Truman Handy, 1864-1945"
"Newbolt, Henry John, 1862-1938"
"Newburgh, Louis Harry, 1883-1956"
"Newcomb, H. T. (Harry Turner), 1867-1944"
"Newcomb, Theodore Mead, 1903-1984"
"Newcombe, Frederick Charles, 1858-1927"
"Newcombe, John"
"Newell, Barbara W"
"Newett, George A., b. 1856"
"Newhall, R. Frank, 1874-"
"Newkirk, Birkett"
"Newkirk, Henry Wirt, 1854-1946"
"Newman, George S"
"Newman, John Philip, 1826-1899"
"Newman, Pauline"
"Newton, Charles Tyley, 1893-"
"Newton, Frank Thomas, 1867-1931"
"Niblack, Albert Parker, 1859-1929"
Nichols Arboretum (University of Michigan)
"Nichols, Haskell Linton, 1896-"
"Nichols, Joseph"
"Nichols, Walter Hammond, 1866-1935"
"Nicholson, Patrick"
"Nicholson, Robert Lawrence, 1908-"
"Nicholson, Seth Barnes, 1891-"
"Nicholson, Walter G"
"Nicke, Herbert Henry"
"Nickerson, Mark"
"Nicoll, Virginia White"
"Nicolle, Charles, 1866-1936"
"Nicoloff, George"
"Niebuhr, Reinhold, 1892-1971"
"Niehuss, Marvin Lemmon, 1903-"
"Niehuss, Marvin Lemmon, 1903-2003"
"Nielsen, Bent"
"Nielson, Axel"
"Niemðoller, Martin, 1892-"
"Niemöller, Martin, 1892-"
"Niezychowski, Alfred von"
"Niggli, Paul, 1888-1953"
"Niles, John M. (John Milton), 1787-1856"
"Nimitz, Chester W. (Chester William), 1885-1966"
"Nims, Katherine Norman, 1875-1967"
"Nims, Richard, 1917-1994"
"Nin, Anaís, 1903-1977"
"Nisbet, Stephen S., 1895-"
"Nisbett, William P., b. 1847"
"Nissen, Rudolf, 1896-"
"Nixon, Pat, 1913-"
"Nixon, Richard M. (Richad Milhous), 1913-1994"
"Nixon, Richard M. (Richard Milhous), 1913-"
"Nixon, Richard M. (Richard Milhous), 1913-1994"
"Noble, Alfred, 1844-1914"
"Noble, Charles, 1797-1874"
"Noble, David A., 1806-1896"
"Noble, Eugene Allen, 1868-1948"
"Noble, Gladwyn Kingsley, 1894-1940"
"Noble, John F"
"Norbeck, Peter, 1870-1936"
"Nord, Elisabeth, 1902-"
"Nordby, Virginia"
Nordman family
"Nordman, Ethol Fred, 1896-1981"
"Norman, Arthur Geoffrey, 1905-"
"Norman, Jessye"
"Norman, Martha Prescod"
"Norodom Sihanouk, Prince, 1922-"
"Norrie, A. Lanfear, 1858-1910"
"Norris, Abbott"
"Norris, Charles, 1867-1935"
"Norris, George W. (George William), 1861-1944"
"Norris, Harold"
"Norris, J. Frank (John Frank), 1877-1952"
"Norris, Louis William, 1906-"
"Norris, Lyman, 1823-1894"
"Norris, Maria, 1856-1938"
"Norris, Mark, 1796-1862"
"Norris, Mark, 1857-1943"
"Norris, Roccena Vaill, 1797-1876"
"Norstad, Lauris, 1907-"
North family
"North, Lucian Gregory, 1850-1925"
"North, Oliver"
"North, Roy Moses, 1889-"
"North, Walter Harper, 1871-1952"
"Northrup, George Washington, 1826-1900"
"Norton, Charles Eliot, 1827-1908"
"Norton, William J. (William John), 1883-1975"
"Norvell, John, 1789-1850"
"Norwood, Rose"
"Notestein, Wallace, 1878-1969"
"Novy, Frederick George, 1864-1957"
"Nowack, Edward A"
"Nowak, Stanley, 1903-"
"Nowell, Charles E"
"Nowicki, Leo J., 1904-"
"Nowland, Chester"
"Noyes, Horace A., 1810-1877"
"Noyes, James"
"Noyes, Theodore William, 1858-1946"
"Nu, U"
"Nu, U, 1907-"
"Nungester, Walter James, 1901-"
"Nussbaum, Karen"
"Nuttall, George Henry Falkiner, 1862-1937"
"Nye, Gerald Prentice, 1892-1971"
"Nye, Kathryn C"
"Nyerere, Julius K. (Julius Kambarage), 1922-1999"
"O'Brien, Eleanor Lawton"
"O'Brien, George Donoghue, 1900-1957"
"O'Brien, Gerald"
"O'Brien, James F"
"O'Brien, John H"
"O'Brien, John J"
"O'Brien, Lawrence Francis"
"O'Brien, Michael"
"O'Brien, Michael, 1943-"
"O'Brien, Patrick Henry, 1868-"
"O'Brien, Thomas James, 1842-1933"
"O'Connor, Basil, 1892-1972"
"O'Connor, Jessie Lloyd, 1904-"
"O'Conor, Herbert R. (Herbert Romulus), 1896-1960"
"O'Dell, Frederick C. (Frederick Charles)"
"O'Donnell, James, 1840-1915"
"O'Donohue, Clayton"
"O'Dwyer, William, 1890-1964"
"O'Farrell, Brigid"
"O'Gara, James Vincent, 1918-"
"O'Hair, Madalyn Murray"
"O'Halloran, Cyril, 1901-"
"O'Hara, Elmer B"
"O'Hara, Geoffrey, 1882-"
"O'Hara, James G"
"O'Hara, John J., 1885-"
"O'Hara, Michael Daniel, 1910-"
"O'Higgins, Bernardo, 1778-1842"
"O'Malley, Patrick J"
"O'Neal, Joe"
"O'Neill, Charles, 1882-1964"
"O'Neill, Eugene, 1888-1953"
"O'Neill, James Milton, 1881-1970"
"O'Neill, Tip"
"O'Rourke, Maureen"
"O'Shaughnessy, John"
"O'Shea, Michael Vincent, 1866-1932"
"O'Sullivan, James"
"Oberholtzer, Ellis Paxson, 1868-1936"
"Oberholtzer, Ernest Carl, 1884-1977"
"Ocker, Phyllis"
"Oddie, James"
"Odegaard, Charles E"
"Odgers, Susan"
"Odjard, Otto Arthur"
"Odum, Howard Washington, 1884-1954"
"Ogatis, C"
"Ogg, Frederic Austin, 1878-1951"
"Oglesby, Beth"
"Oglesby, Carl, 1935-"
"Ohlinger, Gustavus, 1877-"
"Okkelberg, Peter Olaus, 1880-"
"Oksenberg, Michel, 1938-"
"Olander, Oscar G. (Oscar Gustaf), 1899-1963"
"Olds, Ransom Eli, 1864-1950"
"Olds, Schuyler Seager"
"Olencki, Edward V"
"Oliver, William H"
"Olmsted, Mildred Scott, 1890-1990"
"Olney, Richard, 1835-1917"
"Olson, Carl G"
"Olson, Charles"
"Olson, Culbert Levy, 1876-"
"Olson, Gary M"
"Olson, Norman"
"Olson, Willard Clifford, 1899-"
"Onassis, Jacqueline Kennedy, 1929-"
"Ono, Yeijiro"
"Onorato, Michael Paul, 1934-"
"Oosterbaan, Bennie Gaylord, 1906-"
"Oosterbaan, Delmas"
"Oppenheim, James, 1882-1932"
"Oppenheimer, J. Robert, 1904-1967"
"Oppenheimer, William Henry, 1883-"
"Organski, A. F. K., 1923-"
"Orlebeke, Charles J"
"Ormandy, Eugene, 1899-1985"
"Ormondroyd, J. (Jesse), 1897-"
"Orr, H. Winnett (Hiram Winnett), 1877-1956"
"Ortmann, Charles L., b. 1830"
"Osborn, Chase S. (Chase Salmon), 1860-1949"
"Osborn, Chase S. (Chase Salmon), b. 1860"
"Osborn, Curtis"
"Osborn, George A"
"Osborn, Henry Fairfield, 1857-1935"
"Osborn, June E., 1937-"
"Osborn, Stellanova, 1894-1988"
"Osborne, Lithgow, 1892-"
"Osborne, Norman V"
"Osgood, Cornelius, 1905-"
"Osgood, William Fogg, 1864-1943"
