aagovp.xml,/ead/archdesc/dsc/c01[23]/c02[2]/did/unittitle,Report proposing parkland acquisition policy and guidelines (2 versions): one is a summary report for public distribution,(2 versions),"<unittitle><title render=""italic"">Report proposing parkland acquisition policy and guidelines</title> (2 versions): one is a summary report for public distribution</unittitle>"
admissls.xml,/ead/archdesc/dsc/c01[3]/c02[4]/c03/did/unittitle,Articles (1 folder),(1 folder),<unittitle>Articles (1 folder)</unittitle>
affact.xml,/ead/archdesc/dsc/c01[1]/c02[1]/c03[6]/c04[15]/did/unittitle,Handicap 1978-1979 (504 transition plan),(504 transition plan),"<unittitle>Handicap <unitdate type=""inclusive"" normal=""1978/1979"">1978-1979</unitdate> (504 transition plan)</unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[1]/c03[22]/did/unittitle,"Chichester Mass: mixed choir a cappella (1. Kyrie, 2. Gloria, 3. Sanctus, 4. Benedictus, 5. Agnus Dei), 1974 revised, 1979","(1. Kyrie, 2. Gloria, 3. Sanctus, 4. Benedictus, 5. Agnus Dei)","<unittitle><title render=""italic"">Chichester Mass: mixed choir a cappella</title> (1. <title render=""italic"">Kyrie</title>, 2. <title render=""italic"">Gloria</title>, 3. <title render=""italic"">Sanctus</title>, 4. <title render=""italic"">Benedictus</title>, 5. <title render=""italic"">Agnus Dei</title>), <unitdate type=""inclusive"" normal=""1974"">1974</unitdate> revised, <unitdate type=""inclusive"" normal=""1979"">1979</unitdate></unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[1]/c03[27]/did/unittitle,"Concerto for Harpsichord and String Orchestra  (1. Largo maestoso; Allegro semplice, 2. Marcia funebre, 3. Incantation and Hoopla), 1991","(1. Largo maestoso; Allegro semplice, 2. Marcia funebre, 3. Incantation and Hoopla)","<unittitle><title render=""italic"">Concerto for Harpsichord and String Orchestra</title>  (1. <title render=""italic"">Largo maestoso</title>; <title render=""italic"">Allegro semplice</title>, 2. <title render=""italic"">Marcia funebre</title>, 3. <title render=""italic"">Incantation and Hoopla</title>), <unitdate type=""inclusive"" normal=""1991"">1991</unitdate></unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[1]/c03[29]/did/unittitle,"Cross of Gold: music-theater for actors, choir and musicians  (1. Overture, 2. Five Oracles of Avarice, 3. Blind Man's Bluff, 4. Motet, 5. Economist's Tale, 6. The Cross of Gold [Game Show]), 1975","(1. Overture, 2. Five Oracles of Avarice, 3. Blind Man's Bluff, 4. Motet, 5. Economist's Tale, 6. The Cross of Gold [Game Show]","<unittitle><title render=""italic"">Cross of Gold: music-theater for actors, choir and musicians</title>  (1. <title render=""italic"">Overture</title>, 2. <title render=""italic"">Five Oracles of Avarice</title>, 3. <title render=""italic"">Blind Man's Bluff</title>, 4. <title render=""italic"">Motet</title>, 5. <title render=""italic"">Economist's Tale</title>, 6. <title render=""italic"">The Cross of Gold [Game Show]</title>), <unitdate type=""inclusive"" normal=""1975"">1975</unitdate></unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[5]/c03[14]/c04[3]/did/unittitle,"...Et le Soleil se Dechirait (22 fragments d'une etoile, op.7) pour orchestre, 1995","(22 fragments d'une etoile, op.7)","<unittitle><title render=""italic"">...Et le Soleil se Dechirait (22 fragments d'une etoile, op.7) pour orchestre</title>, <unitdate type=""inclusive"" normal=""1995"">1995</unitdate></unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[5]/c03[227]/c04[11]/did/unittitle,"Variations for bassoon, voice and percussion (2 players) (text by Howard Nemerov), 1964",(2 players),"<unittitle><title render=""italic"">Variations for bassoon, voice and percussion (2 players)</title> (text by Howard Nemerov), <unitdate type=""inclusive"" normal=""1964"">1964</unitdate></unittitle>"
albright.xml,/ead/archdesc/dsc/c01[8]/c02[5]/c03[269]/c04/c05[5]/did/unittitle,"William Bolcom Au revoir, G.E.W. for bass marimba (2 players)",(2 players),"<unittitle>William Bolcom <title render=""italic"">Au revoir, G.E.W. for bass marimba (2 players)</title></unittitle>"
aldridge.xml,/ead/archdesc/dsc/c01[5]/c02[6]/did/unittitle,Undated (2 books),(2 books),"<unittitle><unitdate type=""inclusive"">Undated</unitdate> (2 books)</unittitle>"
alumasso.xml,/ead/archdesc/dsc/c01[8]/c02[3]/did/unittitle,Alumni Association Financial Records 1932-1933 (3 v.),(3 v.),"<unittitle>Alumni Association Financial Records <unitdate type=""inclusive"" normal=""1932/1933"">1932-1933</unitdate> (3 v.)</unittitle>"
alumasso.xml,/ead/archdesc/dsc/c01[15]/c02[1]/c03[2]/did/unittitle,Amaizin' Blues and Wisconsin Collegiates 1976 (2 reels),(2 reels),"<unittitle>Amaizin' Blues and Wisconsin Collegiates <unitdate type=""inclusive"" normal=""1976"">1976</unitdate> (2 reels)</unittitle>"
alungmch.xml,/ead/archdesc/dsc/c01[8]/c02/did/unittitle,A-Z (3 sequences),(3 sequences),<unittitle>A-Z (3 sequences)</unittitle>
angelof.xml,/ead/archdesc/dsc/c01[9]/c02[4]/c03[10]/did/unittitle,Board Members Manual (1 volume),(1 volume),<unittitle>Board Members Manual (1 volume)</unittitle>
archcoll.xml,/ead/archdesc/dsc/c01[9]/c02[2]/c03[1]/c04[5]/c05[8]/did/unittitle,"Moore, Charles (2 folders) 1987-1994",(2 folders),"<unittitle>Moore, Charles (2 folders) <unitdate type=""inclusive"" normal=""1987/1994"">1987-1994</unitdate></unittitle>"
